"","variable","intercept","intercpet_stderror","intercpet_tval","micrositeU","micrositeU_stderror","micrositeU_tval","R_marginal","R_conditional"
"1","Temp",26.457777777778,1.18933338370711,22.2458884449288,-0.855555555555601,0.470899726278612,-1.81685294726505,0.00683201285497325,0.443248495395931
"2","STemp",23.3577777777776,1.16098570771573,20.1189193136018,-2.65037037037038,0.392918227432998,-6.745348485576,0.0746254696273594,0.55880500807607
"3","SMoist",33.0607407407419,4.17011331648978,7.92801975188794,-0.672592592592587,0.699022555273561,-0.962190114637102,0.000605720440177519,0.824004028184107
"4","Cov",77.1037037037036,3.00423682130364,25.6649885777799,-9.82962962962958,3.01560179270259,-3.25959138683899,0.0357394864251484,0.0951548470427391
"5","Rich",7.17777777777794,0.72572067919785,9.89055153521551,-0.4,0.241426592329546,-1.65681831541574,0.0047500596011961,0.534519421646651
