"","Plot","Species","variable","mean","sd","sem","CV","CV2"
"1","Control","Commelina","PHeight",0.114905660377358,0.0638996401070109,0.00877729060121728,0.556105242310604,1.79822077534285
"2","Control","Commelina","Chlorophyll",259.622641509434,70.8848541962717,9.73678354782048,0.273030325029244,3.66259681921006
"3","Control","Commelina","Toughness",4.06132075471698,1.58610739976819,0.217868606915348,0.390539801104364,2.56055848129234
"4","Control","Commelina","LDMC",0.162079501633178,0.0564166878587227,0.00789991644153942,0.348080338909273,2.87289998376108
"5","Control","Commelina","SLA",3125.1169123287,1760.24189887471,246.48316740659,0.563256335124774,1.77539059508044
"6","Control","Helichrysum","PHeight",0.306111111111111,0.140758715087258,0.0234597858478763,0.459828833315906,2.17472226086569
"7","Control","Helichrysum","Chlorophyll",243.111111111111,93.269127575689,15.5448545959482,0.383648148163255,2.60655500303488
"8","Control","Helichrysum","Toughness",0.89125,0.62722629803554,0.140252063968301,0.703760222199765,1.42093850782624
"9","Control","Helichrysum","LDMC",0.396158266172117,0.192672975376147,0.0442022120429435,0.486353540563099,2.05611744666689
"10","Control","Helichrysum","SLA",208.034884962406,218.252479322073,50.070552712743,1.04911481245808,0.953184521012524
"11","Control","Miscanthus","PHeight",0.887073170731707,0.288654152078565,0.0450802048148752,0.325400611361593,3.07313497603966
"12","Control","Miscanthus","Chlorophyll",387.536585365854,69.2098611329974,10.8087643729282,0.178589231949959,5.59944174170705
"13","Control","Miscanthus","Toughness",7.96192307692308,2.18403348041868,0.605741900075357,0.274309794168812,3.64551328919956
"14","Control","Miscanthus","LDMC",0.403655652230823,0.057106193401617,0.00891848905066882,0.141472547420101,7.06850917889045
"15","Control","Miscanthus","SLA",4782.90564878483,1550.59077787275,242.161594930167,0.324194306083939,3.08456990525023
"16","Control","Oxalis","PHeight",0.0833333333333333,0.0530018433858564,0.00967676840392985,0.636022120630277,1.57227235903216
"17","Control","Oxalis","Chlorophyll",205,52.5003401349526,9.74906841577027,0.2560992201705,3.90473660690665
"18","Control","Oxalis","Toughness",1.62916666666667,0.732075172349817,0.149434218801425,0.449355604511397,2.22540898557912
"19","Control","Oxalis","LDMC",0.160329369870799,0.176259186354077,0.0339210962295569,1.09935682087514,0.90962277307194
"20","Control","Oxalis","SLA",2659.15545322449,2263.8940677688,435.686616481039,0.851358300630229,1.17459358681267
"21","Control","Pseudognath","PHeight",0.252857142857143,0.094927076357507,0.0146475658840706,0.375417816103135,2.66369883661909
"22","Control","Pseudognath","Chlorophyll",202.47619047619,42.7501180116689,6.59648642047527,0.211136518872306,4.73627208282615
"23","Control","Pseudognath","Toughness",1.37869047619048,0.809312460027563,0.124879623748315,0.587015341009544,1.70353299162541
"24","Control","Pseudognath","LDMC",0.304794124420686,0.133651528322116,0.0211321621130194,0.43849771899686,2.28051357322376
"25","Control","Pseudognath","SLA",621.903628007391,940.538393798495,148.712177561981,1.51235392662369,0.661220883812884
"26","Control","Themeda","PHeight",0.432826086956522,0.140896542714121,0.0207740618732321,0.325526919379688,3.07194256593452
"27","Control","Themeda","Chlorophyll",335.782608695652,59.9792234559336,8.84345403499453,0.178625163729959,5.5983153723614
"28","Control","Themeda","Toughness",3.63066666666667,2.06168278575801,0.307337523799736,0.567852401512489,1.76102099301944
"29","Control","Themeda","LDMC",0.489154260186226,0.16601923490582,0.0244782007538535,0.339400570369385,2.94637100612899
"30","Control","Themeda","SLA",1153.55964643761,546.325092606735,80.5512403504423,0.473599344683977,2.11148940813522
"31","Control","Tristachya","PHeight",0.432368421052632,0.137279242156887,0.0222696337544443,0.317505246619703,3.1495542535011
"32","Control","Tristachya","Chlorophyll",337.78947368421,52.9778933471244,8.59414914728449,0.156837016764625,6.3760457870782
"33","Control","Tristachya","Toughness",5.62175675675676,2.85316715253423,0.469057790489538,0.507522341500284,1.9703566094133
"34","Control","Tristachya","LDMC",0.467308543803357,0.0960660766258745,0.0155839754727061,0.205573122725312,4.86444913976524
"35","Control","Tristachya","SLA",1377.91009153809,727.558550064892,118.025581947364,0.52801598198091,1.89388206820633
"36","Under","Commelina","PHeight",0.115283018867925,0.0674993952561202,0.00927175499857614,0.585510302548997,1.70791187729155
"37","Under","Commelina","Chlorophyll",255.22641509434,69.1941642463254,9.50454942283348,0.271108945446533,3.68855405472859
"38","Under","Commelina","Toughness",3.65603773584906,1.22668344236783,0.168497929430164,0.33552264254268,2.98042478570667
"39","Under","Commelina","LDMC",0.158195649365373,0.0934054144424261,0.0128302204036727,0.590442371943455,1.69364538779369
"40","Under","Commelina","SLA",3209.69810784525,2493.28862621568,342.479531783838,0.776798484605609,1.28733515811081
"41","Under","Helichrysum","PHeight",0.359722222222222,0.142377488411438,0.0237295814019064,0.395798423383148,2.52653861390438
"42","Under","Helichrysum","Chlorophyll",256.972222222222,77.9719678973013,12.9953279828835,0.303425666879564,3.29570009776701
"43","Under","Helichrysum","Toughness",0.782962962962963,0.488483247605159,0.0940086448331537,0.62389061898483,1.60284506541733
"44","Under","Helichrysum","LDMC",0.425969516594517,0.235053370319181,0.0628206556672053,0.551807960809858,1.81222467057626
"45","Under","Helichrysum","SLA",382.254582142857,705.962369516556,188.676379620433,1.84683821331597,0.541465945847263
"46","Under","Miscanthus","PHeight",0.97,0.279427987145168,0.0436393199294219,0.288070089840379,3.47137740177783
"47","Under","Miscanthus","Chlorophyll",381.024390243902,61.9085970624751,9.66849849649265,0.162479354728042,6.15462808597312
"48","Under","Miscanthus","Toughness",7.79075,2.63080499737448,0.588265880967549,0.337683149552287,2.96135593773583
