"","Df","SumOfSqs","R2","F","Pr(>F)"
"Site",8,28.2168390560832,0.287698508029788,13.377662356987,0.001
"Microsite",1,1.36768478068215,0.013944895460304,5.18737769893787,0.001
"Site:Microsite",8,4.16114846231423,0.0424270132426531,1.97280918091124,0.001
"Residual",244,64.3321357831285,0.655929583267255,NA,NA
"Total",261,98.077808082208,1,NA,NA
