"Site" "Pair" "Wpt" "Alt" "TrHei" "Circ" "nn1" "nn2"
"99" "G" 99 "LG09" 1902 1.45 2.22 1.07 0.32
"100" "G" 100 "LG10" 1908 1 1.87 0.87 0.17
"101" "G" 101 "LG11" 1911 1.3 5.09 0.37 0.16
"102" "G" 102 "LG12" 1913 1.5 5.29 0 0
"103" "G" 103 "LG13" 1913 1.4 5.6 0 0.95
"104" "G" 104 "LG14" 1913 0.9 2.8 0.26 1.31
"105" "G" 105 "LG15" 1916 0.8 2.95 0 0.52
"106" "H" 106 "LH01" 1855 1.35 3.63 4.95 8.47
"107" "H" 107 "LH02" 1853 1.25 5.01 0.8 2.72
"108" "H" 108 "LH03" 1851 1.2 6.23 1.98 3.31
"109" "H" 109 "LH04" 1854 1.35 1.25 0 0.83
"110" "H" 110 "LH05" 1857 1.5 6.61 0 0.66
"111" "H" 111 "LH06" 1852 1.13 4.06 0.46 0.81
"112" "H" 112 "LH07" 1855 1.3 4.21 0.21 0.55
"113" "H" 113 "LH08" 1858 1.1 2.55 1.23 1.53
"114" "H" 114 "LH09" 1862 1.1 2.82 1.29 3.05
"115" "H" 115 "LH10" 1863 1.6 7.15 0 0.35
"116" "H" 116 "LH11" 1865 1.2 3.67 0 0.94
"117" "H" 117 "LH12" 1861 1.35 3.56 0 0
"118" "H" 118 "LH13" 1867 2.1 8.77 1.25 0.74
"119" "H" 119 "LH14" 1871 1.6 6.06 0.44 2.42
"120" "H" 120 "LH15" 1870 1.35 2.12 1.26 0
"121" "I" 121 "LI01" 1867 1.55 5.33 0 0.1
"122" "I" 122 "LI02" 1912 1.1 3.18 0.45 1.09
"123" "I" 123 "LI03" 1911 0.75 0.7 0.59 0.8
"124" "I" 124 "LI04" 1912 1 1.64 0.24 0.43
"125" "I" 125 "LI05" 1912 0.92 3.27 0.14 1.1
"126" "I" 126 "LI06" 1914 1.01 4.04 1.24 1.52
"127" "I" 127 "LI07" 1921 0.9 3.14 4.24 5.51
"128" "I" 128 "LI08" 1921 1.25 3.76 0.38 4.2
"129" "I" 129 "LI09" 1931 0.9 2.84 3.6 4.54
"130" "I" 130 "LI10" 1929 1.1 3.22 3.32 0.54
"131" "I" 131 "LI11" 1922 2 7.44 2.27 1.68
"132" "I" 132 "LI12" 1909 1.5 3.68 0 1.24
"133" "I" 133 "LI13" 1909 2.2 7.26 0 0.51
"134" "I" 134 "LI14" 1910 1.5 3.82 1 1.49
"135" "I" 135 "LI15" 1918 1.65 3.18 1.92 2
