Sample	Plot	Species	Habitat	SA	Chlorophyll	Toughness	PHeight	LDMC	SLA	Reproductive
F22C	Control	Commelina	Open	367.876	266	4.655	0.07	15.3284671532847	23.9995295238095	0
F18U	Under	Themeda	Under	368.139	342	1.425	0.63	57.1428571428571	6.4424325	1
B15U	Under	Commelina	Under	368.161	304	4.970	0.06	12.9310344827586	28.4711173333333	0
I29U	Under	Commelina	Under	371.817	302	2.580	0.21	27.5510204081633	13.49558	0
F10U	Under	Themeda	Under	373.018	270	2.415	0.46	67.9245283018868	5.49165388888889	1
E12C	Control	Themeda	Open	376.499	410	3.800	0.22	38.4615384615385	9.788974	1
I36U	Under	Tristachya	Under	376.894	308	3.380	0.44	57.1428571428571	6.595645	0
B38C	Control	Themeda	Short	377.569	319	3.950	0.39	55.5555555555556	6.796242	0
D39C	Control	Commelina	Short	377.706	300	3.310	0.21	20.6521739130435	18.2889221052632	1
I39U	Under	Miscanthus	Under	3777.48	482	11	0.74	38.2591093117409	98.7341333333333	0
B5C	Control	Themeda	Short	378.972	469	3.050	0.47	21.4285714285714	17.68536	1
B44C	Control	Oxalis	Tall	379.541	198	1.610	0.22	7.2	52.7140277777778	0
E35U	Under	Oxalis	Under	379.759	279	2.235	0.07	14.8514851485149	25.5704393333333	0
G50C	Control	Helichrysum	Short	38.416	296	0.550	0.21	NA	NA	1
E11C	Control	Tristachya	Open	380.026	342	2.705	0.54	48.780487804878	7.790533	0
I3C	Control	Themeda	Short	380.955	334	6.695	0.50	52.7777777777778	7.2180947368421	1
E19C	Control	Commelina	Open	381.763	245	6.535	0.09	18.8118811881188	20.2937173684211	0
E15C	Control	Tristachya	Open	383.052	245	1.040	0.18	34.4827586206897	11.108508	0
E47U	Under	Oxalis	Under	384.473	236	1.100	0.06	8.57142857142857	44.8551833333333	0
G32U	Under	Themeda	Under	384.628	353	2.305	0.37	44.8979591836735	8.56671454545455	1
E43U	Under	Oxalis	Under	386.495	245	1.605	0.07	16.9811320754717	22.7602611111111	0
G40U	Under	Tristachya	Under	386.558	184	5.165	0.46	47.7272727272727	8.09931047619047	0
I32C	Control	Commelina	Short	386.578	249	3.855	0.18	21.6494845360825	17.8562219047619	0
D38U	Under	Themeda	Under	387.017	74	6.085	0.39	54.3478260869565	7.1211128	0
E1C	Control	Commelina	Open	387.832	22	3.405	0.06	15.0442477876106	25.7794211764706	0
I40C	Control	Tristachya	Short	388.531	289	4.510	0.51	56.989247311828	6.81761943396226	1
E6U	Under	Themeda	Under	389.103	344	2.390	0.30	20	19.45515	0
F39C	Control	Helichrysum	Open	39.439	253	0.775	0.30	83.3333333333333	0.473268	1
E38C	Control	Helichrysum	Open	39.801	332	NA	0.26	NA	NA	1
D27U	Under	Tristachya	Under	391.725	253	9.735	0.40	28.9473684210526	13.5323181818182	0
E19U	Under	Commelina	Under	392.312	249	5.755	0.08	11.0169491525424	35.6098584615385	0
I35C	Control	Themeda	Short	392.452	374	1.920	0.47	85.3658536585366	4.59729485714286	1
E9C	Control	Themeda	Short	396.241	384	4.370	0.17	29.7872340425532	13.3023764285714	0
E9U	Under	Themeda	Under	397.494	270	1.130	0.20	30.2325581395349	13.1478784615385	0
E24C	Control	Commelina	Open	398.414	302	4.600	0.09	20	19.9207	1
E20U	Under	Tristachya	Under	398.431	298	3.527	0.43	31.1475409836066	12.7917321052632	0
B26C	Control	Commelina	Short	398.447	173	7.425	0.04	14.9253731343284	26.695949	0
F28C	Control	Commelina	Short	398.486	357	1.825	0.12	21.2121212121212	18.7857685714286	0
F11U	Under	Oxalis	Under	404.684	334	2.270	0.17	20.6106870229008	19.6346681481482	1
B4U	Under	Commelina	Under	405.134	241	3.225	0.09	12.2448979591837	33.0859433333333	0
G13C	Control	Commelina	Open	406.205	179	1.490	0.13	14.5454545454545	27.92659375	0
B25U	Under	Tristachya	Under	407.641	433	11	0.39	39.0804597701149	10.4308138235294	0
F46C	Control	Tristachya	Short	407.827	310	3.080	0.25	64.1025641025641	6.3621012	1
G18C	Control	Themeda	Open	408.485	387	2.265	0.50	64.406779661017	6.34226710526316	1
D38C	Control	Themeda	Short	409.067	304	1.010	0.38	52.1739130434783	7.84045083333333	1
B28C	Control	Helichrysum	Short	41.623	351	NA	0.26	NA	NA	1
F8C	Control	Commelina	Short	410.414	427	2.655	0.18	9.70873786407767	42.272642	0
B32C	Control	Tristachya	Short	411.67	374	4.780	0.42	71.4285714285714	5.76338	0
G19C	Control	Themeda	Short	419.726	308	3.340	0.39	66.0377358490566	6.35585085714286	1
G42C	Control	Helichrysum	Short	42.188	270	0.255	0.17	77.7777777777778	0.542417142857143	1
F5U	Under	Helichrysum	Under	42.451	268	0.240	0.63	33.3333333333333	1.27353	1
G20C	Control	Commelina	Short	422.606	222	3.785	0.06	21.259842519685	19.8781340740741	0
F15U	Under	Pseudognath	Under	424.579	173	5.290	0.39	29.8076923076923	14.2439406451613	1
G19U	Under	Themeda	Under	425.193	357	1.790	0.43	40.6779661016949	10.45266125	1
E2C	Control	Tristachya	Open	426.597	300	4.715	0.29	37.7358490566038	11.3048205	0
E17U	Under	Themeda	Under	430.409	372	10.170	0.23	33.3333333333333	12.91227	0
B18C	Control	Commelina	Short	432.747	262	3.375	0.09	14.8514851485149	29.138298	0
F30U	Under	Commelina	Under	434.037	395	4.140	0.10	17.3553719008264	25.0087985714286	0
I9U	Under	Commelina	Under	434.846	363	6.115	0.08	21.259842519685	20.4538674074074	1
G2C	Control	Commelina	Tall	435.25	270	3.420	0.05	10.4	41.8509615384615	0
E26U	Under	Tristachya	Under	436.878	403	4.310	0.60	45.6521739130435	9.56970857142857	0
I45U	Under	Pseudognath	Under	44.144	188	1.825	0.20	37.5	1.17717333333333	0
E44U	Under	Helichrysum	Under	44.264	441	0.805	0.26	NA	NA	1
E30C	Control	Commelina	Open	441.124	285	6.665	0.08	22.5	19.6055111111111	1
F42U	Under	Tristachya	Under	444.606	403	5.940	0.43	37.3493975903614	11.9039670967742	1
B4C	Control	Commelina	Short	449.264	361	3.680	0.20	9.70873786407767	46.274192	0
F37C	Control	Helichrysum	Open	45.287	357	1.595	0.40	40	1.132175	1
F47C	Control	Themeda	Short	451.169	429	9.660	0.87	37.7483443708609	11.952020877193	1
D42U	Under	Themeda	Under	455.452	363	1.620	0.60	43.6363636363636	10.4374416666667	1
D36C	Control	Themeda	Short	456.975	198	2.090	0.47	25	18.279	1
I7U	Under	Commelina	Under	457.652	222	3.895	0.20	16.6666666666667	27.45912	0
E6C	Control	Themeda	Short	458.86	372	1.675	0.27	29.8245614035088	15.3853058823529	0
D41U	Under	Helichrysum	Under	46.333	169	NA	0.22	NA	NA	1
B13C	Control	Helichrysum	Short	46.59	150	NA	0.26	33.3333333333333	1.3977	1
D33U	Under	Themeda	Under	461.492	245	1.800	0.40	46.6666666666667	9.88911428571429	1
G22C	Control	Themeda	Short	462.25	338	2.295	0.45	71.4285714285714	6.4715	1
G34U	Under	Tristachya	Under	462.44	433	4.930	0.48	35.4166666666667	13.0571294117647	1
G22U	Under	Themeda	Under	462.981	327	2.590	0.53	66.0714285714286	7.00728	1
F12C	Control	Commelina	Open	463.565	393	3.875	0.12	27.2151898734177	17.0333186046512	1
I24C	Control	Commelina	Tall	465.134	270	5.010	0.08	8.49673202614379	54.7426938461538	0
I46U	Under	Tristachya	Under	467.993	344	9.155	0.46	36.0824742268041	12.9700917142857	1
F27U	Under	Oxalis	Under	468.053	285	3.260	0.10	10.8433734939759	43.1648877777778	1
I19C	Control	Helichrysum	Short	47.424	171	0.950	0.56	10	4.7424	1
E4C	Control	Tristachya	Open	470.11	336	9.120	0.44	35	13.4317142857143	0
B22C	Control	Tristachya	Short	472.333	406	3.770	0.30	38	12.4298157894737	1
F4C	Control	Commelina	Tall	473.169	251	4.980	0.28	13.5338345864662	34.9619316666667	0
G31U	Under	Tristachya	Under	475.552	399	5.675	0.61	35.4166666666667	13.4273505882353	1
E37U	Under	Oxalis	Under	475.676	154	3.380	0.08	8.14814814814815	58.3784181818182	1
G24C	Control	Themeda	Short	479.134	232	2.100	0.63	25.6410256410256	18.686226	1
B28U	Under	Helichrysum	Under	48.026	338	1.170	0.30	NA	NA	1
G43C	Control	Pseudognath	Short	48.561	182	0.980	0.20	50	0.97122	1
B9C	Control	Tristachya	Short	481.21	382	2.265	0.43	27.536231884058	17.4755210526316	0
G38U	Under	Themeda	Under	482.364	272	3.965	0.48	47.887323943662	10.0728952941176	1
B22U	Under	Tristachya	Under	483.7	300	3.420	0.54	35.1851851851852	13.7472631578947	0
E26C	Control	Tristachya	Open	492.142	397	3.870	0.43	52.5641025641026	9.36270146341463	0
D34U	Under	Themeda	Under	496.004	217	0.635	0.42	53.3333333333333	9.300075	1
B21C	Control	Themeda	Short	496.237	365	6.490	0.60	43.1372549019608	11.5036759090909	0
E46C	Control	Themeda	Open	496.354	342	5.665	0.21	36.6666666666667	13.5369272727273	0
E14C	Control	Commelina	Open	498.878	248	3.220	0.10	18.8172043010753	26.5118022857143	1
F45C	Control	Themeda	Short	499.818	332	3.515	0.35	79.2452830188679	6.30722714285714	1
I47C	Control	Helichrysum	Short	50.189	270	1.205	0.58	45.4545454545455	1.104158	1
E41U	Under	Helichrysum	Under	50.984	348	1.555	0.28	NA	NA	1
G31C	Control	Tristachya	Short	503.136	334	8.455	0.41	42.2764227642276	11.9011015384615	1
D17U	Under	Themeda	Under	503.394	323	5.510	0.33	39.2156862745098	12.836547	1
E20C	Control	Tristachya	Open	506.25	327	0.875	0.27	39.1304347826087	12.9375	0
D41C	Control	Helichrysum	Open	51.404	313	NA	0.63	NA	NA	1
B23C	Control	Tristachya	Short	513.07	391	2.890	0.30	37.2881355932203	13.7596045454545	1
E1U	Under	Commelina	Under	514.892	300	5.015	0.08	14.6892655367232	35.0522630769231	0
G34C	Control	Tristachya	Short	517.14	323	7.900	0.47	48.780487804878	10.60137	1
I46C	Control	Tristachya	Short	517.477	264	3.615	0.40	47.2727272727273	10.9466288461538	1
I2U	Under	Themeda	Under	517.666	367	3.690	0.56	58.8235294117647	8.800322	0
B39C	Control	Helichrysum	Short	52.422	192	0.645	0.35	NA	NA	1
D4C	Control	Helichrysum	Short	52.65	429	NA	0.24	46.1538461538462	1.14075	1
I21U	Under	Helichrysum	Under	52.938	160	1.135	0.24	NA	NA	1
I7C	Control	Commelina	Short	520.197	344	5.755	0.10	15	34.6798	0
F44C	Control	Tristachya	Short	528.616	283	9.900	0.22	42.4	12.467358490566	1
D37U	Under	Commelina	Under	529.633	194	1.430	0.13	17.4757281553398	30.3067772222222	0
G18U	Under	Themeda	Under	530.867	255	1.215	0.60	44.9275362318841	11.8160719354839	1
D8C	Control	Commelina	Short	530.896	209	4.525	0.08	14.1843971631206	37.428168	0
F6C	Control	Themeda	Tall	532.738	336	7.190	0.57	45	11.8386222222222	1
D36U	Under	Themeda	Under	533.596	234	2.220	0.56	34.4262295081967	15.4996933333333	1
E11U	Under	Tristachya	Under	534.902	402	1.595	0.28	52.7272727272727	10.1446931034483	0
I6C	Control	Themeda	Short	536.208	289	5.650	0.48	50	10.72416	1
F45U	Under	Themeda	Under	536.802	313	3.565	0.32	36.5079365079365	14.7037069565217	1
F27C	Control	Oxalis	Open	536.875	289	1.440	0.08	20	26.84375	1
B20C	Control	Commelina	Short	537.827	298	7.865	0.08	14.3617021276596	37.4486948148148	0
E4U	Under	Tristachya	Under	538.211	319	9.925	0.47	37.5	14.3522933333333	0
D4U	Under	Helichrysum	Under	54.173	355	NA	0.31	NA	NA	1
G44C	Control	Helichrysum	Short	54.467	361	0.200	0.27	33.3333333333333	1.63401	1
G11C	Control	Commelina	Tall	543.043	272	1.950	0.09	14.0740740740741	38.5846342105263	0
G30U	Under	Tristachya	Under	544.549	281	5.040	0.36	51.0204081632653	10.6731604	0
G16C	Control	Commelina	Short	546.303	306	4.355	0.14	20.6896551724138	26.404645	0
F1C	Control	Commelina	Open	546.873	338	5.620	0.08	19.8067632850242	27.6104173170732	0
I29C	Control	Commelina	Short	547.423	315	4.730	0.38	9.74025974025974	56.2020946666667	0
F1U	Under	Commelina	Under	547.853	319	3.780	0.2	10.2739726027397	53.3243586666667	0
G42U	Under	Helichrysum	Under	55.855	289	0.330	0.19	62.5	0.89368	1
D39U	Under	Commelina	Under	553.171	329	3.430	0.30	11.864406779661	46.6244128571429	0
G2U	Under	Commelina	Under	554.007	148	3.735	0.07	19.8630136986301	27.8913868965517	0
D33C	Control	Themeda	Short	555.888	279	4.450	0.46	47.2972972972973	11.7530605714286	1
D45U	Under	Tristachya	Under	557.706	310	0.725	0.54	51.5625	10.8161163636364	1
G45C	Control	Pseudognath	Short	56.966	146	0.615	0.19	53.8461538461539	1.05794	1
B17C	Control	Tristachya	Short	560.077	403	1.695	0.41	41.9354838709677	13.3556823076923	1
B10C	Control	Themeda	Short	561.644	399	4.010	0.51	41.9354838709677	13.3930492307692	0
D45C	Control	Tristachya	Short	562.76	351	4.415	0.58	60.8695652173913	9.24534285714286	1
D8U	Under	Commelina	Under	562.76	201	2.925	0.13	12.5	45.0208	1
F16C	Control	Commelina	Open	564.298	321	2.770	0.14	20.3791469194313	27.689971627907	1
G40C	Control	Tristachya	Short	566.242	327	10.135	0.49	40.6779661016949	13.9201158333333	1
E39U	Under	Themeda	Under	567.331	340	3.725	0.32	37.5	15.1288266666667	1
D29C	Control	Themeda	Open	567.692	262	1.865	0.27	60.8695652173913	9.32636857142857	1
G50U	Under	Helichrysum	Under	57.2	327	0.915	0.52	62.5	0.9152	1
G45U	Under	Pseudognath	Under	57.493	137	0.660	0.11	46.6666666666667	1.23199285714286	1
I42C	Control	Tristachya	Short	571.885	378	7.870	0.40	61.6822429906542	9.27146893939394	0
B19C	Control	Themeda	Short	573.081	427	1.490	0.45	46.031746031746	12.4496906896552	1
F42C	Control	Tristachya	Short	574.384	239	9.995	0.37	48.5714285714286	11.8255529411765	1
G16U	Under	Commelina	Under	574.472	378	6.075	0.10	11.5577889447236	49.7043165217391	0
D11U	Under	Helichrysum	Under	58.02	179	0.580	0.56	NA	NA	1
I12C	Control	Pseudognath	Short	59.027	224	1.510	0.22	30.7692307692308	1.9183775	0
B47C	Control	Oxalis	Short	59.108	156	NA	0.09	NA	NA	1
B13U	Under	Helichrysum	Under	59.352	179	NA	0.22	NA	NA	1
I18U	Under	Miscanthus	Under	597.879	298	7.705	0.54	25.531914893617	23.4169275	1
G8C	Control	Commelina	Tall	598.153	296	5.330	0.15	21.830985915493	27.3992664516129	1
I40U	Under	Tristachya	Under	601.346	336	4.335	0.51	16.5071770334928	36.4293663768116	1
B23U	Under	Tristachya	Under	601.449	518	9.605	0.30	35.8333333333333	16.784623255814	0
I32U	Under	Commelina	Under	603.783	355	2.800	0.22	17.5438596491228	34.415631	0
D13C	Control	Tristachya	Short	604.09	387	11	0.57	55.2631578947368	10.9311523809524	0
F37U	Under	Helichrysum	Under	61.688	171	0.220	0.28	75	0.822506666666667	1
G15C	Control	Themeda	Short	612.289	296	2.540	0.36	44.2477876106195	13.8377314	1
B24U	Under	Themeda	Under	617.262	363	1.550	0.58	39.1891891891892	15.7508234482759	1
E18U	Under	Oxalis	Under	617.981	332	1.275	0.10	5.88235294117647	105.05677	1
B2U	Under	Helichrysum	Under	62.853	220	NA	0.52	NA	NA	1
D19C	Control	Miscanthus	Tall	620.844	289	11	0.71	38.3177570093458	16.2025141463415	1
B33C	Control	Themeda	Short	623.999	353	2.570	0.44	29.8701298701299	20.8904013043478	1
B38U	Under	Themeda	Under	624.266	285	4.515	0.35	42.6470588235294	14.6379613793103	1
G21C	Control	Commelina	Short	630.488	272	5.685	0.18	14.5077720207254	43.4586371428571	1
I37U	Under	Themeda	Under	630.947	408	2.665	0.38	41.1764705882353	15.3229985714286	0
I35U	Under	Themeda	Under	638.335	338	1.935	0.40	52.8735632183908	12.0728576086957	0
B37C	Control	Pseudognath	Short	64.29	245	0.385	0.19	9.09090909090909	7.0719	1
I38C	Control	Commelina	Short	644.88	332	3.360	0.09	18.942731277533	34.0436651162791	0
D35U	Under	Themeda	Under	654.958	209	1.550	0.54	42.8571428571428	15.2823533333333	1
D17C	Control	Themeda	Short	658.904	251	1.235	0.40	49.1525423728814	13.4052882758621	1
I36C	Control	Tristachya	Short	661.469	361	7.160	0.39	53.75	12.3064	1
D40U	Under	Tristachya	Under	663.49	300	5.255	0.35	29.1044776119403	22.7968358974359	1
F46U	Under	Tristachya	Under	664.124	401	9.856	0.43	50.6493506493507	13.1121917948718	1
E16C	Control	Tristachya	Open	667.946	355	5.980	0.26	32	20.8733125	0
D21C	Control	Pseudognath	Short	67.777	196	1.515	0.37	57.1428571428571	1.1860975	1
F12U	Under	Commelina	Under	67.974	302	1.850	0.11	3.57142857142857	19.03272	1
D34C	Control	Themeda	Short	671.071	287	2.630	0.48	54.9295774647887	12.2169335897436	1
I5C	Control	Commelina	Short	673.372	395	4.210	0.11	16.9902912621359	39.632752	1
B32U	Under	Tristachya	Under	678.109	359	9.775	0.76	44.8979591836735	15.1033368181818	0
I19U	Under	Helichrysum	Under	68.114	150	0.275	0.58	60	1.13523333333333	1
I33U	Under	Tristachya	Under	682.542	387	8.090	0.43	36.9747899159664	18.4596586363636	0
I50U	Under	Tristachya	Under	685.306	458	5.765	0.51	49.6688741721854	13.7974941333333	0
I42U	Under	Tristachya	Under	686.728	285	11	0.62	39.010989010989	17.6034501408451	1
D22C	Control	Themeda	Short	687.773	258	0.905	0.43	47.887323943662	14.3623185294118	0
F13U	Under	Commelina	Under	688.609	255	4.740	0.23	13.6585365853659	50.4160160714286	0
I20C	Control	Helichrysum	Short	69.292	137	0.935	0.60	50	1.38584	1
I17C	Control	Pseudognath	Short	69.957	217	0.725	0.24	25	2.79828	1
G21U	Under	Commelina	Under	693.623	241	4.670	0.13	17.6795580110497	39.2330509375	1
I34C	Control	Themeda	Short	695.882	359	8.030	0.52	56.043956043956	12.4167180392157	1
F10C	Control	Themeda	Tall	697.266	283	3.625	0.39	63.6363636363636	10.9570371428571	1
F24U	Under	Helichrysum	Under	70.561	264	1.185	0.32	57.1428571428571	1.2348175	1
D14U	Under	Helichrysum	Under	70.788	124	0.310	0.24	3.125	22.65216	0
D15U	Under	Commelina	Under	703.437	344	2.890	0.05	6.84210526315789	102.810023076923	0
F44U	Under	Tristachya	Under	709.075	306	9.170	0.35	30.4093567251462	23.3176586538462	1
I50C	Control	Tristachya	Short	709.815	279	7.215	0.37	43.75	16.2243428571429	1
G35C	Control	Pseudognath	Short	71.058	249	0.935	0.16	37.5	1.89488	1
D23C	Control	Tristachya	Short	711.138	340	7.080	0.47	48.2269503546099	14.7456555882353	0
B5U	Under	Themeda	Under	712.026	306	3.020	0.54	41.8604651162791	17.00951	0
F35U	Under	Miscanthus	Under	716.223	465	5.655	0.96	30.3370786516854	23.6088322222222	0
B36C	Control	Helichrysum	Short	72.197	150	0.755	0.33	33.3333333333333	2.16591	1
F39U	Under	Helichrysum	Under	72.417	308	0.380	0.28	45.4545454545455	1.593174	1
B36U	Under	Helichrysum	Under	72.983	346	1.620	0.41	NA	NA	1
B10U	Under	Themeda	Under	727.357	342	5.725	0.58	33.7837837837838	21.5297672	0
F15C	Control	Pseudognath	Short	728.487	186	3.250	0.32	28.7878787878788	25.3053378947368	1
G41C	Control	Tristachya	Short	729.54	374	2.620	0.60	41.2903225806452	17.668546875	1
B39U	Under	Helichrysum	Under	73.016	241	0.295	0.32	NA	NA	1
E42C	Control	Pseudognath	Open	73.702	171	2.120	0.26	31.5789473684211	2.33389666666667	1
D35C	Control	Themeda	Short	732.288	281	2.530	0.45	40.5063291139241	18.07836	1
D12C	Control	Pseudognath	Open	74.58	262	1.460	0.23	27.7777777777778	2.68488	1
G15U	Under	Themeda	Under	741.526	456	2.880	0.44	17.8571428571429	41.525456	1
B11U	Under	Miscanthus	Under	742.17	306	9.730	0.62	27.4336283185841	27.0532935483871	0
B9U	Under	Tristachya	Under	752.028	319	7.860	0.55	42.2764227642276	17.7883546153846	0
G28C	Control	Pseudognath	Short	752.256	255	4.915	0.35	13.2780082987552	56.65428	1
D10C	Control	Pseudognath	Open	76.085	165	1.655	0.26	50	1.5217	1
B1C	Control	Pseudognath	Short	76.343	154	0.570	0.39	NA	NA	1
I5U	Under	Commelina	Under	768.299	226	3.340	0.11	12.7659574468085	60.1834216666667	1
G17C	Control	Commelina	Open	769.739	169	3.535	0.10	19.2488262910798	39.9888797560976	1
B47U	Under	Oxalis	Under	77.831	249	NA	0.06	NA	NA	0
E22C	Control	Pseudognath	Open	78.165	182	1.125	0.10	33.3333333333333	2.34495	0
B8C	Control	Pseudognath	Short	78.934	148	1.015	0.25	5.88235294117647	13.41878	1
D23U	Under	Tristachya	Under	782.585	194	11	0.74	31.4814814814815	24.8585823529412	0
D11C	Control	Helichrysum	Open	79.425	226	NA	0.19	12.5	6.354	1
I25C	Control	Pseudognath	Short	79.946	179	0.980	0.20	47.3684210526316	1.68774888888889	1
D32U	Under	Helichrysum	Under	79.979	139	0.795	0.56	4.44444444444444	17.995275	1
E16U	Under	Tristachya	Under	792.114	355	6.105	0.47	41.1764705882353	19.2370542857143	0
D7C	Control	Pseudognath	Short	80.325	186	1.165	0.50	29.4117647058824	2.73105	1
I33C	Control	Tristachya	Short	801.071	387	9.120	0.48	50.2958579881657	15.9271763529412	1
G33C	Control	Tristachya	Short	803.668	359	3.595	0.52	48.8888888888889	16.4386636363636	1
E15U	Under	Tristachya	Under	805.236	391	7.055	0.41	40.625	19.8211938461538	0
E27C	Control	Commelina	Open	812.474	156	4.670	0.05	16.1702127659574	50.2451026315789	0
I15C	Control	Oxalis	Short	82.713	251	NA	0.04	12	6.89275	0
G24U	Under	Themeda	Under	822.934	346	3.465	0.46	45.360824742268	18.1419540909091	1
G37U	Under	Tristachya	Under	824.674	359	5.165	0.54	46.7213114754098	17.6509171929825	1
D37C	Control	Commelina	Open	835.46	243	4.505	0.19	18.1818181818182	45.9503	0
F32U	Under	Commelina	Under	836.295	266	3.385	0.04	5.88235294117647	142.17015	1
I41C	Control	Pseudognath	Short	84.867	203	1.105	0.30	34.7826086956522	2.43992625	1
F47U	Under	Themeda	Under	852.258	287	5.070	0.46	114.0625	7.47185095890411	1
I14U	Under	Miscanthus	Under	864.8	435	11	0.77	48.1481481481481	17.9612307692308	0
G32C	Control	Themeda	Short	871.933	372	4.060	0.48	46.031746031746	18.9419927586207	0
G37C	Control	Tristachya	Short	886.186	342	6.415	0.65	47.2222222222222	18.7662917647059	0
G38C	Control	Themeda	Short	896.901	359	2.985	0.45	46.5116279069767	19.2833715	1
I48C	Control	Helichrysum	Short	9.919	239	NA	0.46	NA	NA	1
B6U	Under	Helichrysum	Under	90.786	177	0.320	0.45	NA	NA	1
I34U	Under	Themeda	Under	915.507	401	1.610	0.47	56.25	16.27568	0
G12U	Under	Miscanthus	Under	916.504	391	3.170	0.45	53.6423841059603	17.0854449382716	0
G35U	Under	Pseudognath	Under	92.43	239	1.100	0.31	27.2727272727273	3.3891	1
E2U	Under	Tristachya	Under	925.539	399	2.455	0.42	46.078431372549	20.0861655319149	0
G29U	Under	Commelina	Under	94.973	188	0.805	0.15	31.25	3.039136	0
D2C	Control	Pseudognath	Short	95.712	148	1.560	0.16	33.3333333333333	2.87136	1
B35C	Control	Pseudognath	Short	95.75	175	1.170	0.41	31.5789473684211	3.03208333333333	1
I1U	Under	Pseudognath	Under	96.269	194	2.365	0.36	3.44827586206897	27.91801	1
G39C	Control	Pseudognath	Short	96.815	201	0.585	0.20	68.4210526315789	1.41498846153846	1
B31C	Control	Pseudognath	Short	97.623	275	0.680	0.25	26.6666666666667	3.6608625	1
D13U	Under	Tristachya	Under	974.475	258	3.065	0.89	29.0322580645161	33.56525	0
D29U	Under	Themeda	Under	975.462	213	2.120	0.64	47.0588235294118	20.7285675	0
F25U	Under	Oxalis	Under	98.584	124	0.625	0.09	29.1666666666667	3.38002285714286	0
G27C	Control	Pseudognath	Short	99.095	205	1.210	0.27	52.3809523809524	1.89181363636364	1
I26C	Control	Oxalis	Short	99.191	137	NA	0.03	23.0769230769231	4.29827666666667	0
E23C	Control	Commelina	Open	99.946	226	1.715	0.06	17.6470588235294	5.66360666666667	0
B17U	Under	Tristachya	Under	996.329	262	3.070	0.44	40.4761904761905	24.6151870588235	0
