Sample	Plot	Species	Habitat	SA	Chlorophyll	Toughness	PHeight	LDMC	SLA	Reproductive
B2C	Control	Helichrysum	Short	136.906	70	0.530	0.55	NA	NA	1
E25U	Under	Miscanthus	Under	1363.473	342	5.435	0.61	37.4331550802139	36.4242072857143	0
D28U	Under	Miscanthus	Under	1366.996	296	7.145	0.94	37.1428571428571	36.8037384615385	0
B30C	Control	Commelina	Short	138.092	245	0.755	0.08	NA	NA	0
B29U	Under	Pseudognath	Under	138.744	239	1.460	0.36	26.9230769230769	5.15334857142857	1
G49C	Control	Helichrysum	Short	14.94	226	0.950	0.23	50	0.2988	1
I18C	Control	Miscanthus	Short	1405.222	452	11	0.50	45.5205811138015	30.8700364893617	1
B34C	Control	Tristachya	Short	1413.739	289	4.180	0.56	44.6236559139785	31.68138	0
B14U	Under	Pseudognath	Under	142.063	291	1.075	0.69	3.57142857142857	39.77764	1
I49U	Under	Pseudognath	Under	142.616	165	1.310	0.45	8.33333333333333	17.11392	1
D9C	Control	Tristachya	Short	1426.998	332	9.990	0.59	51.1363636363636	27.9057386666667	0
B46U	Under	Oxalis	Under	147.604	165	1.195	0.06	28.125	5.24814222222222	0
B11C	Control	Miscanthus	Tall	1478.154	395	11	0.97	32.156862745098	45.9669841463415	1
G25U	Under	Pseudognath	Under	148.913	228	0.855	0.39	50	2.97826	1
G26C	Control	Miscanthus	Tall	1493.329	294	11	1.10	40.8408408408408	36.5645997794118	1
F6U	Under	Themeda	Under	1495.157	361	11	0.65	52.3206751054852	28.5767910483871	1
F2U	Under	Helichrysum	Under	15.875	319	0.690	0.27	NA	NA	0
F26U	Under	Miscanthus	Under	1516.689	454	11	0.94	42.3566878980892	35.8075448120301	1
F40U	Under	Miscanthus	Under	1519.335	340	8.960	0.81	34.4827586206897	44.060715	1
B6C	Control	Helichrysum	Short	152.134	101	0.275	0.50	21.0526315789474	7.226365	1
D43U	Under	Miscanthus	Under	1537.979	450	11	0.83	44.3850267379679	34.6508521686747	0
E29C	Control	Pseudognath	Open	156.146	249	1.435	0.24	20.5128205128205	7.6121175	1
B49C	Control	Oxalis	Open	156.798	137	1.655	0.04	NA	NA	0
I38U	Under	Commelina	Under	157.112	198	4.420	0.09	4.34782608695652	36.13576	0
F43U	Under	Themeda	Under	1572.135	207	7.560	0.54	43.6293436293436	36.0338907079646	1
I14C	Control	Miscanthus	Tall	1588.609	408	11	0.81	50.7288629737609	31.3156831609195	0
D26C	Control	Commelina	Short	159.473	211	3.785	0.14	17.6470588235294	9.03680333333334	1
E21U	Under	Pseudognath	Under	159.874	317	2.630	0.14	20.5128205128205	7.7938575	0
G1C	Control	Miscanthus	Tall	1593.886	494	8.550	0.66	48.6803519061584	32.741875060241	0
I28C	Control	Helichrysum	Short	16.495	372	NA	0.15	50	0.3299	1
I28U	Under	Helichrysum	Under	16.87	281	NA	0.12	NA	NA	1
I44C	Control	Helichrysum	Short	16.933	260	NA	0.26	NA	NA	1
D9U	Under	Tristachya	Under	1600.996	315	8.910	0.71	47.9638009049774	33.3792562264151	0
F21C	Control	Oxalis	Short	161.719	148	1.025	0.2	24.4444444444444	6.61577727272727	0
E48U	Under	Pseudognath	Under	164.136	215	1.400	0.35	25	6.56544	1
E36C	Control	Miscanthus	Open	1652.463	355	9.485	0.74	32.183908045977	51.3443860714286	0
G8U	Under	Commelina	Under	166.382	122	3.615	0.11	5.76923076923077	28.8395466666667	0
D2U	Under	Pseudognath	Under	168.837	179	0.930	0.51	21.4285714285714	7.87906	1
G9U	Under	Miscanthus	Under	1681.887	268	5.640	0.73	39.3316195372751	42.7617021568627	0
F7U	Under	Oxalis	Under	169.846	211	0.865	0.14	1.51515151515152	112.09836	0
B26U	Under	Commelina	Under	171.226	230	4.360	0.05	14.6341463414634	11.7004433333333	0
I1C	Control	Pseudognath	Short	172.377	201	1.265	0.17	16.2162162162162	10.629915	0
F26C	Control	Miscanthus	Open	1725.317	496	11	0.68	38.5658914728682	44.7368629145729	0
I12U	Under	Pseudognath	Under	175.767	279	2.930	0.31	50	3.51534	1
B12C	Control	Commelina	Short	176.666	270	4.240	0.07	NA	NA	0
G30C	Control	Tristachya	Short	1765.94	340	9.090	0.58	46.0674157303371	38.3338195121951	1
I3U	Under	Themeda	Under	177.262	365	1.170	0.35	43.4782608695652	4.077026	0
D28C	Control	Miscanthus	Short	1776.704	260	5.940	0.66	37.6760563380282	47.1573771962617	0
G20U	Under	Commelina	Under	178.968	137	3.200	0.07	65.625	2.72713142857143	0
F3C	Control	Themeda	Tall	179.729	372	2.950	0.35	90.9090909090909	1.977019	1
D19U	Under	Miscanthus	Under	1797.802	397	11	1.40	37.7682403433476	47.6008938636364	1
I43C	Control	Helichrysum	Short	18.26	112	NA	0.38	NA	NA	1
I8U	Under	Themeda	Under	180.59	357	1.540	0.36	40	4.51475	0
G9C	Control	Miscanthus	Tall	1815.568	325	11	0.84	45.3271028037383	40.0547991752577	0
F41C	Control	Miscanthus	Tall	1816.255	234	9.520	1.03	27.9069767441861	65.0824708333333	1
E42U	Under	Pseudognath	Under	182.775	158	1.800	0.24	13.8888888888889	13.1598	1
G4U	Under	Miscanthus	Under	1831.297	429	10.085	0.98	40.8	44.8847303921569	0
E25C	Control	Miscanthus	Open	1832.513	359	3.650	0.64	29.3051359516616	62.5321446391753	0
F31C	Control	Miscanthus	Tall	1845.374	374	8.855	1.04	29.9086757990868	61.7002909923664	0
B42C	Control	Oxalis	Short	185.934	196	0.470	0.09	8.51063829787234	21.847245	0
E8C	Control	Pseudognath	Short	186.402	228	1.085	0.14	14.7058823529412	12.675336	0
B20U	Under	Commelina	Under	187.004	300	2.705	0.07	15.7894736842105	11.8435866666667	0
B43C	Control	Oxalis	Open	187.322	270	NA	0.06	13.6363636363636	13.7369466666667	1
B46C	Control	Oxalis	Short	187.455	194	0.925	0.11	15.2542372881356	12.2887166666667	0
E43C	Control	Oxalis	Open	188.375	287	NA	0.05	13.7254901960784	13.7244642857143	0
F38C	Control	Miscanthus	Tall	1886.919	414	11	1.03	33.4293948126801	56.4449045689655	0
F29C	Control	Miscanthus	Tall	1900.294	384	11	1.56	38.7096774193548	49.0909283333333	0
I27U	Under	Miscanthus	Under	1908.32	435	11	0.97	47.3262032085561	40.3226937853107	0
G4C	Control	Miscanthus	Short	1928.01	403	9.505	0.6	43.1767337807606	44.6539103626943	0
G10C	Control	Miscanthus	Tall	1928.872	351	5.135	0.55	43.5835351089588	44.2568964444445	0
B41C	Control	Miscanthus	Tall	1932.058	429	11	1.90	45.6233421750663	42.3480154651163	1
E3U	Under	Oxalis	Under	194.092	103	NA	0.06	9.80392156862745	19.797384	0
E49C	Control	Pseudognath	Open	194.376	224	2.005	0.17	17.0731707317073	11.38488	0
F14U	Under	Oxalis	Under	194.507	133	1.860	0.13	21.4285714285714	9.07699333333333	0
D12U	Under	Pseudognath	Under	195.092	84	1.310	0.59	18.5185185185185	10.534968	1
B44U	Under	Oxalis	Under	196.315	211	0.670	0.15	10	19.6315	0
B31U	Under	Pseudognath	Under	196.649	251	1.790	0.66	25	7.86596	1
E3C	Control	Oxalis	Open	197.669	196	1.285	0.05	11.7647058823529	16.801865	0
