Microsite	Type	Richness	Cover
Under	Forb	8	45
Under	Forb	10	50
Under	Forb	8	69
Under	Forb	6	30
Under	Forb	4	32
Under	Forb	9	38
Under	Forb	6	40
Under	Forb	6	32
Under	Forb	5	10
Under	Forb	9	44
Under	Forb	10	18
Under	Forb	9	25
Under	Forb	9	17
Under	Forb	5	6
Under	Forb	2	5
Under	Forb	2	1
Under	Forb	6	10
Under	Forb	9	28
Under	Forb	4	10
Under	Forb	5	45
Under	Forb	6	17
Under	Forb	8	19
Under	Forb	6	11
Under	Forb	6	58
Under	Forb	8	19
Under	Forb	6	24
Under	Forb	2	2
Under	Forb	8	40
Under	Forb	9	46
Under	Forb	8	43
Under	Forb	5	8
Under	Forb	6	41
Under	Forb	9	24
Under	Forb	6	40
Under	Forb	7	29
Under	Forb	8	21
Under	Forb	7	27
Under	Forb	8	28
Under	Forb	7	30
Under	Forb	4	52
Under	Forb	9	56
Under	Forb	6	62
Under	Forb	0	0
Under	Forb	2	4
Under	Forb	2	5
Under	Forb	2	1
Under	Forb	2	1
Under	Forb	0	0
Under	Forb	2	7
Under	Forb	4	3
Under	Forb	0	0
Under	Forb	0	0
Under	Forb	3	61
Under	Forb	6	33
Under	Forb	6	5
Under	Forb	4	14
Under	Forb	4	22
Under	Forb	6	52
Under	Forb	5	12
Under	Forb	7	17
Under	Forb	2	1
Under	Forb	6	29
Under	Forb	7	17
Under	Forb	5	14
Under	Forb	6	14
Under	Forb	7	28
Under	Forb	5	15
Under	Forb	3	17
Under	Forb	4	7
Under	Forb	9	46
Under	Forb	6	8
Under	Forb	4	35
Under	Forb	3	23
Under	Forb	4	16
Under	Forb	5	10
Under	Forb	7	12
Under	Forb	6	22
Under	Forb	4	6
Under	Forb	5	21
Under	Forb	6	13
Under	Forb	5	22
Under	Forb	5	10
Under	Forb	3	3
Under	Forb	5	45
Under	Forb	5	4
Under	Forb	6	9
Under	Forb	5	17
Under	Grass	1	5
Under	Grass	1	5
Under	Grass	1	10
Under	Grass	1	10
Under	Grass	1	5
Under	Grass	1	25
Under	Grass	1	5
Under	Grass	1	5
Under	Grass	1	15
Under	Grass	0	0
Under	Grass	1	10
Under	Grass	1	1
Under	Grass	0	5
Under	Grass	1	0
Under	Grass	1	5
Under	Grass	2	45
Under	Grass	1	35
Under	Grass	2	10
Under	Grass	1	13
Under	Grass	1	30
Under	Grass	1	33
Under	Grass	2	25
Under	Grass	2	21
Under	Grass	2	40
Under	Grass	1	63
Under	Grass	2	28
Under	Grass	2	28
Under	Grass	2	5
Under	Grass	3	30
Under	Grass	1	46
Under	Grass	2	3
Under	Grass	1	18
Under	Grass	1	10
Under	Grass	0	16
Under	Grass	2	35
Under	Grass	2	1
Under	Grass	2	0
Under	Grass	0	22
Under	Grass	1	25
Under	Grass	1	25
Under	Grass	2	3
Under	Grass	2	5
Under	Grass	1	10
Under	Grass	3	18
Under	Grass	1	19
Under	Grass	3	50
Under	Grass	2	38
Under	Grass	2	10
Under	Grass	2	13
Under	Grass	1	15
Under	Grass	2	8
Under	Grass	3	15
Under	Grass	2	13
Under	Grass	2	22
Under	Grass	2	17
Under	Grass	1	23
Under	Grass	3	15
Under	Grass	1	10
Under	Grass	2	10
Under	Grass	3	29
Under	Grass	2	55
Under	Grass	3	25
Under	Grass	1	16
Under	Grass	1	2
Under	Grass	1	44
Under	Grass	1	35
Under	Grass	2	45
Under	Grass	1	5
Under	Grass	1	15
Under	Grass	3	19
Under	Grass	3	25
Under	Grass	2	5
Under	Grass	2	29
Under	Grass	1	50
Under	Grass	2	20
Under	Grass	3	30
Under	Grass	2	8
Under	Grass	2	15
Under	Grass	3	30
Under	Grass	3	12
Under	Grass	3	57
Under	Grass	3	34
Under	Grass	2	21
Under	Grass	2	21
Under	Grass	2	20
Under	Grass	1	35
Under	Grass	2	13
Under	Grass	1	82
Under	Grass	2	10
Under	Grass	1	17
Under	Grass	2	10
Under	Grass	1	3
Under	Grass	1	20
Under	Grass	1	50
Under	Grass	1	25
Under	Grass	5	40
Under	Grass	1	5
Under	Grass	3	35
Under	Grass	2	33
Under	Grass	1	5
Under	Grass	3	13
Under	Grass	4	7
Under	Grass	2	2
Under	Grass	1	22
Under	Grass	2	27
Under	Grass	2	17
Under	Grass	2	10
Under	Grass	1	25
Under	Grass	2	50
Under	Grass	2	32
Under	Grass	2	25
Under	Grass	2	10
Under	Grass	2	12
Under	Grass	2	13
Under	Grass	2	23
Under	Grass	2	35
Under	Grass	1	44
Under	Grass	3	5
Under	Grass	2	8
Under	Grass	3	25
Under	Grass	1	35
Under	Grass	2	33
Under	Grass	2	19
Under	Grass	3	20
Under	Grass	3	18
Under	Grass	2	26
Under	Grass	3	37
Under	Grass	1	39
Under	Grass	3	52
Under	Grass	1	27
Under	Grass	3	5
Under	Grass	3	17
Under	Grass	1	5
Under	Grass	3	22
Under	Grass	3	38
