Site	Pair	Wpt	Alt	TimeH	TrHei	Circ	LeuCov	ContHei	nn1	nn2	nna	TempU	STempU	SMoistU	CovU	RichU	TempC	STempC	SMoistC	CovC	RichC	TempA
C	44	LC14	1858	15.25	3.25	6.52	85	1.2	0	0	0	29.6	22.1	34	85	8	30.5	22	33.3	123	6	30.2
C	45	LC15	1861	15.58	2.5	7.84	100	0.5	0	0	0	29.4	25	27.4	39	5	30.1	30.6	27	106	5	27.5
D	46	LD01	1810	9.17	1	6.11	95	0.32	0.5	0.25	0.375	15.5	16.7	42	80	8	14	19.4	37.8	64	9	12.2
D	47	LD02	1763	10	0.55	1.92	75	0.5	0	0	0	15.9	18.3	45.3	60	10	17.2	13.2	37.8	75	9	15.9
D	48	LD03	1761	10.5	0.95	4.4	100	0.45	0	2.37	1.185	18	21.2	35.8	82	8	19.9	23.4	40.9	65	9	13.7
D	49	LD04	1780	11.17	1	6.59	50	0.8	0	0	0	19.3	24.3	40.1	63	11	21.3	29.6	29.7	104	8	15.3
D	50	LD05	1859	11.67	0.6	3.75	30	0.5	0	0	0	19.9	20.6	38.2	71	12	17.8	27.7	38.4	57	10	16.5
D	51	LD06	1866	12.08	1	5.56	85	0.5	6.06	4.3	5.18	26.3	20.1	30.8	80	10	23.8	30.8	32	73	10	20.6
D	52	LD07	1863	12.58	0.75	4.93	95	0.55	0	0	0	21.3	21.7	31.4	47	8	20.6	27.2	30.8	79	17	19.3
D	53	LD08	1868	12.95	0.9	5.05	95	0.5	0	0	0	22.1	18.8	30.9	60	5	27.7	23.4	36.7	53	8	19.4
D	54	LD09	1873	13.67	0.8	3.13	30	0.4	0.73	1.3	1.015	22.2	24.5	33.9	67	11	24.7	30.5	30.3	62	11	19.2
D	55	LD10	1875	14.07	1.25	4.03	95	0.48	0	2.43	1.215	19.4	19.2	28.7	67	9	21.5	26.5	31.2	77	10	19.2
D	56	LD11	1876	14.47	1.3	5.22	100	0.3	0.8	0.85	0.825	22.4	19.1	26.1	58	8	22.5	30.7	22.5	51	10	29.7
D	57	LD12	1878	14.83	1.5	6.51	95	0.5	0	1.77	0.885	24.1	19.7	30.2	27	7	22.3	28.7	29.3	60	10	18.3
D	58	LD13	1882	15.2	0.9	4.91	80	0.25	5.71	7.82	6.765	19.3	20.3	27.2	59	11	20.4	30.2	22.4	66	15	18.3
D	59	LD14	1880	15.57	0.75	5.14	95	0.55	1.9	2.26	2.08	20.1	19.7	28.9	30	11	25.3	28.1	23.8	85	16	16.4
D	60	LD15	1875	16	1.2	5.7	85	0.45	1	1.8	1.4	17.8	21.3	31.4	57	12	18.1	24.4	27.2	63	11	16.8
E	61	LE01	2134	7.17	1.7	7.3	100	0.5	4.05	0.53	2.29	12.9	14.9	49.3	92	10	10.8	15.8	59.1	90	10	9.8
E	62	LE02	2130	7.68	1.4	3.9	65	0.45	0	1.65	0.825	11.2	16.2	63.3	76	7	14.1	17	57.4	90	7	10.1
E	63	LE03	2131	8.15	2	7.3	100	0.75	0	2.05	1.025	14.3	15.1	52.7	41	5	15.6	15.8	54	88	11	8.4
E	64	LE04	2133	8.67	1.4	9.44	100	0.6	2.26	3.9	3.08	16.6	15.2	59.3	33	4	23.3	17.1	52.9	102	7	18.2
E	65	LE05	2132	9.17	0.5	3.05	50	0.45	2.2	3.4	2.8	23.6	17.5	63.5	94	9	24.5	19.3	62.5	92	8	19.2
E	66	LE06	2130	9.58	1.7	7	100	0.5	0	0	0	25.7	16.9	50.6	113	10	22.8	19	51.5	109	9	19.7
E	67	LE07	2130	9.88	0.65	2.77	45	0.4	0.8	2.84	1.82	28.8	18.9	59.9	100	5	19.8	25.1	58.9	97	9	20.1
E	68	LE08	2130	10.25	2.2	5.38	90	0.7	0	0	0	28.4	16.1	50.8	70	6	23.6	20.3	47	95	5	20.9
E	69	LE09	2129	10.5	2.15	9.07	100	0.75	0.66	1.62	1.14	30.2	16.9	42.4	57	7	34.3	18.3	51.9	63	8	20.1
E	70	LE10	2129	10.67	1.5	3.74	70	0.5	0	0	0	25.9	11.1	52.7	58	10	27.1	22.1	52.7	116	11	20.6
E	71	LE11	2130	11.42	1.25	5.26	90	0.4	2.41	2.64	2.525	29.4	18.4	44.1	56	7	34.6	25.7	49.6	88	4	23.7
E	72	LE12	2128	11.75	2.5	8.91	100	0.7	3.37	4.76	4.065	29.2	16.8	48.3	73	7	21.7	20.3	49.8	74	6	20.3
E	73	LE13	2127	12.08	1.5	3.1	40	0.4	0.36	1.42	0.89	29.1	19.2	47.1	63	11	29	26.9	50.6	80	12	22.5
E	74	LE14	2125	12.5	0.9	4.67	50	0.4	3.69	3.22	3.455	27	23.2	44.1	94	9	29.2	25.4	45.8	85	8	23.7
E	75	LE15	2133	13	1.6	8.5	95	0.7	0	0	0	27.7	17.4	46.4	37	4	33	22	46.9	63	6	22.3
F	76	LF01	2059	14.25	1.8	6.72	75	0.3	7.28	5.36	6.32	31.7	20.3	31.4	77	10	29	28.2	32.4	70	12	24.2
F	77	LF02	2059	14.75	1.9	8.49	75	0.5	3.41	5.45	4.43	26.7	22.8	26.6	79	10	26	24.3	33.8	106	13	23.4
F	78	LF03	2057	15.17	1.05	3.57	80	0.55	1.77	1.73	1.75	29.3	21.1	40.5	88	10	25.8	29.6	38	89	11	24.6
F	79	LF04	2057	15.5	1.3	3.35	30	0.24	1.51	1.7	1.605	24.2	24	35.9	58	8	26.4	27.2	36.3	73	10	26.2
F	80	LF05	2056	15.75	1.7	8.17	95	0.26	0.36	0.84	0.6	26	19.5	39	73	8	25.2	26.8	38.4	71	6	24.6
F	81	LF06	2059	13.75	1.15	4.81	80	0.45	0	0.8	0.4	26	24	39.4	93	11	30.4	29	43.4	67	9	28.9
F	82	LF07	2059	14.17	1.09	6.2	50	0.3	0.17	0.53	0.35	32.3	27.8	40.9	77	9	29.1	27	47.4	95	12	27.7
F	83	LF08	2057	14.58	1.25	5.69	55	0.3	0.62	1.93	1.275	33.3	25.5	36.5	52	10	36.3	34	44.7	67	12	35.6
F	84	LF09	2055	15	1.5	7.8	100	0.45	0	2.09	1.045	27.5	21.9	41.6	62	11	30	26.8	44.5	72	12	28.3
F	85	LF10	2051	15.25	1	5.44	40	0.25	4.88	5.43	5.155	32.1	26.6	32.7	52	10	28.9	31.2	31	46	7	30
F	86	LF11	2052	15.5	1.9	8.55	85	0.35	6.05	6.18	6.115	27.4	23.2	35	65	10	28.7	25.3	38.8	75	8	30.1
F	87	LF12	2054	15.83	1.55	6.73	60	0.2	3.18	11.63	7.405	27.6	21.3	21.4	63	9	28	31.6	28.1	63	10	26.1
F	88	LF13	2054	16.08	1.7	5.88	100	0.2	0	3.01	1.505	32.4	21.9	29.9	144	6	29.2	27.5	26.6	47	9	25.2
F	89	LF14	2054	16.38	1.85	6.53	70	0.3	0	0	0	28.5	25.6	28.4	86	10	31.1	25.8	29.1	129	8	28.7
F	90	LF15	2054	16.73	1.8	6.75	45	0.4	5.06	7.22	6.14	30.1	22	32.1	94	8	30.6	24.5	26.5	53	9	28.1
G	91	GL01	1867	6.45	1.35	3.2	75	0.8	0	0.33	0.165	17.3	16.3	35.8	95	2	16.6	16.7	41.8	87	4	14.2
G	92	LG02	1873	6.72	1.5	5.83	100	0.35	0	0.25	0.125	15.2	18	19.6	10	4	16.1	17.5	28.4	102	5	17.4
G	93	LG03	1872	7	1.3	2.5	60	1	0	1.3	0.65	16.6	16.5	31.2	105	3	13.7	15.9	33.5	100	2	15
G	94	LH04	1893	7.13	0.75	2.46	35	0.5	0	0	0	16.5	17.7	30.3	74	4	14.4	17.6	33.9	60	3	17.3
G	95	LG05	1873	7.28	0.9	2.77	50	0.5	0	0.17	0.085	16.1	17.1	33.7	86	3	16.5	18.9	31.8	66	6	15.8
G	96	LG06	1889	7.5	1.4	2.22	35	0.5	0.73	0.11	0.42	17.7	16	32.7	80	2	17	16.7	33.4	100	2	17.4
G	97	LG07	1898	7.58	1.4	3.52	50	1.1	0.5	0.3	0.4	20.1	17	30.8	92	3	20.8	17.1	32	76	4	21.4
G	98	LG08	1898	7.75	1.5	3.07	35	0.8	0.24	0.94	0.59	22.4	17.3	22.1	128	5	22.8	16.6	24.6	88	5	23.4
G	99	LG09	1902	7.88	1.45	2.22	35	0.4	1.07	0.32	0.695	22.5	18.3	17.9	83	6	22.3	19.1	18.5	82	6	22.5
G	100	LG10	1908	8.05	1	1.87	40	1.1	0.87	0.17	0.52	23.6	17.1	26.8	100	2	23.2	16.1	34.4	90	2	24.3
G	101	LG11	1911	8.17	1.3	5.09	45	1.1	0.37	0.16	0.265	24.2	19.1	28	94	6	24.4	17.4	35.8	94	3	23.8
G	102	LG12	1913	8.33	1.5	5.29	100	0.8	0	0	0	21.6	17.4	28.6	70	8	22.7	18.5	31.2	114	6	20.6
G	103	LG13	1913	8.67	1.4	5.6	100	1	0	0.95	0.475	24.8	17.6	24.9	22	7	27.2	17.1	29.5	69	3	24.2
G	104	LG14	1913	9	0.9	2.8	25	0.4	0.26	1.31	0.785	26	17.6	34.4	71	7	29.6	19.7	24.6	48	6	24.8
G	105	LG15	1916	9.25	0.8	2.95	35	0.55	0	0.52	0.26	31.4	18.7	25.5	99	8	29.8	17.8	20.4	101	5	23.8
H	106	LH01	1855	11.08	1.35	3.63	80	0.2	4.95	8.47	6.71	28.8	20.3	22.1	74	8	29.6	29	19.6	56	9	28.8
H	107	LH02	1853	11.28	1.25	5.01	70	0.55	0.8	2.72	1.76	31.9	21.9	21.1	47	6	28.2	22.4	28	59	7	26.2
H	108	LH03	1851	11.43	1.2	6.23	65	0.4	1.98	3.31	2.645	28.9	21.5	22.5	57	9	30.5	25.3	18.1	76	12	28.4
H	109	LH04	1854	11.67	1.35	1.25	5	0.41	0	0.83	0.415	28.4	25.2	25.3	61	4	32.2	27.9	21.1	52	8	26.9
H	110	LH05	1857	11.92	1.5	6.61	65	0.4	0	0.66	0.33	32.2	25.7	24.6	74	8	30.3	28.9	17.5	69	5	29.5
H	111	LH06	1852	12.08	1.13	4.06	25	0.4	0.46	0.81	0.635	31.6	26.5	18.3	47	8	32.5	35.7	18.7	41	6	26.9
H	112	LH07	1855	12.25	1.3	4.21	65	0.6	0.21	0.55	0.38	31.8	23.6	19.4	59	7	31.9	29	18.1	46	6	30.7
H	113	LH08	1858	12.42	1.1	2.55	30	0.25	1.23	1.53	1.38	29.2	30.7	15.8	28	8	31.5	38.8	15.9	37	6	29.2
H	114	LH09	1862	13.2	1.1	2.82	15	0.6	1.29	3.05	2.17	27.7	25.7	21.3	101	9	29	22.7	44.6	110	6	28.3
H	115	LH10	1863	13.38	1.6	7.15	80	0.35	0	0.35	0.175	30.8	27.7	19.6	53	7	32.4	34.4	15	41	7	27.8
H	116	LH11	1865	13.55	1.2	3.67	8	0.4	0	0.94	0.47	31.3	33.1	17.5	55	5	30.6	37.3	18.1	53	9	31.2
H	117	LH12	1861	13.72	1.35	3.56	15	0.5	0	0	0	31.1	30.1	25.3	54	6	28.3	25.3	22.3	83	7	30.1
H	118	LH13	1867	13.93	2.1	8.77	20	0.8	1.25	0.74	0.995	27.1	25.7	19	66	11	28.5	27.4	19.4	105	8	25
H	119	LH14	1871	14.1	1.6	6.06	40	0.6	0.44	2.42	1.43	30.5	27.9	20.9	41	8	30.8	25.9	23.8	68	7	27.1
H	120	LH15	1870	14.35	1.35	2.12	10	0.4	1.26	0	0.63	28.8	26.1	19	90	5	31.9	31	20.8	52	9	29.9
I	121	LI01	1867	10.08	1.55	5.33	50	0.5	0	0.1	0.05	26.7	17.4	24.4	83	6	26.3	18.4	23.4	54	6	22.3
I	122	LI02	1912	10.2	1.1	3.18	60	0.5	0.45	1.09	0.77	27.4	19.8	20.7	84	6	28.3	19.5	22.5	136	7	27.1
I	123	LI03	1911	10.33	0.75	0.7	15	0.55	0.59	0.8	0.695	27.6	19.9	20.5	49	8	29.1	18.8	15.2	68	7	26.3
I	124	LI04	1912	10.42	1	1.64	20	0.55	0.24	0.43	0.335	27.5	20	20.8	67	8	28	19	24.9	69	8	24.7
I	125	LI05	1912	10.58	0.92	3.27	20	0.52	0.14	1.1	0.62	24.9	18.8	19.8	55	8	28.1	19.3	18.8	96	7	24.3
I	126	LI06	1914	10.72	1.01	4.04	95	0.55	1.24	1.52	1.38	28.1	18.3	24.9	57	6	28	19.4	19.4	64	8	24.3
I	127	LI07	1921	10.83	0.9	3.14	20	0.5	4.24	5.51	4.875	26.9	18.6	24.9	75	8	28.7	20	17.9	84	8	24.3
I	128	LI08	1921	11	1.25	3.76	50	0.45	0.38	4.2	2.29	29.2	19.5	17.7	72	9	29.9	21.4	25.9	75	6	27.1
I	129	LI09	1931	11.17	0.9	2.84	10	0.65	3.6	4.54	4.07	27.1	19.4	20.7	99	7	30.8	19.1	24.8	97	9	27.2
I	130	LI10	1929	11.25	1.1	3.22	40	0.5	3.32	0.54	1.93	27.1	22.3	22.3	82	8	29.7	20.7	17.5	74	8	28.2
I	131	LI11	1922	11.42	2	7.44	100	1.1	2.27	1.68	1.975	28	20	17.5	48	4	30.1	19.2	26.4	97	6	27.1
I	132	LI12	1909	11.55	1.5	3.68	55	0.5	0	1.24	0.62	30.9	21.4	23.4	72	8	31	21.1	19.8	120	5	24.3
I	133	LI13	1909	11.67	2.2	7.26	100	1	0	0.51	0.255	29.2	19.7	25.9	29	6	28.6	18.4	23.6	100	3	30
I	134	LI14	1910	11.83	1.5	3.82	8	0.6	1	1.49	1.245	28.7	25.1	25.9	76	9	28.3	22.9	21.3	100	9	26.9
I	135	LI15	1918	12	1.65	3.18	75	0.45	1.92	2	1.96	29.8	18.5	33.5	75	8	30	20.6	22.2	94	7	27.8
