Site,Elevation,Latitude,Longitude,Plot,Species,WMass,Dmass,SA,Chlorophyll,Toughness,Height,LDMC,SLA
D,1847,-28.5989,28.5822,OpenGrassland,Tristachya leucothrix,0.141,0.068,711.138,340,7.08,0.47,48.22695035,14.74565559
D,1847,-28.5989,28.5822,UnderCanopy,Tristachya leucothrix,0.162,0.051,782.585,194,NA,0.74,31.48148148,24.85858235
D,1847,-28.5989,28.5822,OpenGrassland,Tristachya leucothrix,0.023,0.015,218.129,427,2.79,0.38,65.2173913,3.344644667
D,1847,-28.5989,28.5822,UnderCanopy,Tristachya leucothrix,0.076,0.022,391.725,253,9.735,0.4,28.94736842,13.53231818
D,1847,-28.5989,28.5822,OpenGrassland,Tristachya leucothrix,0.053,0.022,299.492,203,2.5,0.28,41.50943396,7.215034545
D,1847,-28.5989,28.5822,UnderCanopy,Tristachya leucothrix,0.134,0.039,663.49,300,5.255,0.35,29.10447761,22.7968359
D,1847,-28.5989,28.5822,OpenGrassland,Tristachya leucothrix,0.05,0.024,248.521,270,6.935,0.83,48,5.177520833
D,1847,-28.5989,28.5822,UnderCanopy,Tristachya leucothrix,0.155,0.071,1114.131,433,4.86,0.32,45.80645161,24.32257817
D,1847,-28.5989,28.5822,OpenGrassland,Tristachya leucothrix,0.092,0.056,562.76,351,4.415,0.58,60.86956522,9.245342857
D,1847,-28.5989,28.5822,UnderCanopy,Tristachya leucothrix,0.064,0.033,557.706,310,0.725,0.54,51.5625,10.81611636
D,1847,-28.5989,28.5822,OpenGrassland,Tristachya leucothrix,0.264,0.135,1426.998,332,9.99,0.59,51.13636364,27.90573867
D,1847,-28.5989,28.5822,UnderCanopy,Tristachya leucothrix,0.221,0.106,1600.996,315,8.91,0.71,47.9638009,33.37925623
E,1847,-28.4921,28.6473,OpenGrassland,Tristachya leucothrix,0.041,0.02,380.026,342,2.705,0.54,48.7804878,7.790533
E,1847,-28.4921,28.6473,UnderCanopy,Tristachya leucothrix,0.055,0.029,534.902,402,1.595,0.28,52.72727273,10.1446931
E,1847,-28.4921,28.6473,OpenGrassland,Tristachya leucothrix,0.058,0.02,383.052,245,1.04,0.18,34.48275862,11.108508
E,1847,-28.4921,28.6473,UnderCanopy,Tristachya leucothrix,0.096,0.039,805.236,391,7.055,0.41,40.625,19.82119385
E,1847,-28.4921,28.6473,OpenGrassland,Tristachya leucothrix,0.1,0.032,667.946,355,5.98,0.26,32,20.8733125
E,1847,-28.4921,28.6473,UnderCanopy,Tristachya leucothrix,0.085,0.035,792.114,355,6.105,0.47,41.17647059,19.23705429
E,1847,-28.4921,28.6473,OpenGrassland,Tristachya leucothrix,0.046,0.018,506.25,327,0.875,0.27,39.13043478,12.9375
E,1847,-28.4921,28.6473,UnderCanopy,Tristachya leucothrix,0.061,0.019,398.431,298,3.527,0.43,31.14754098,12.79173211
E,1847,-28.4921,28.6473,OpenGrassland,Tristachya leucothrix,0.078,0.041,492.142,397,3.87,0.43,52.56410256,9.362701463
E,1847,-28.4921,28.6473,UnderCanopy,Tristachya leucothrix,0.046,0.021,436.878,403,4.31,0.6,45.65217391,9.569708571
E,1847,-28.4921,28.6473,OpenGrassland,Tristachya leucothrix,0.053,0.02,426.597,300,4.715,0.29,37.73584906,11.3048205
E,1847,-28.4921,28.6473,UnderCanopy,Tristachya leucothrix,0.102,0.047,925.539,399,2.455,0.42,46.07843137,20.08616553
E,1847,-28.4921,28.6473,OpenGrassland,Tristachya leucothrix,0.06,0.021,470.11,336,9.12,0.44,35,13.43171429
E,1847,-28.4921,28.6473,UnderCanopy,Tristachya leucothrix,0.048,0.018,538.211,319,9.925,0.47,37.5,14.35229333
F,2056,-28.4959,28.6526,OpenGrassland,Tristachya leucothrix,0.07,0.034,574.384,239,9.995,0.37,48.57142857,11.82555294
F,2056,-28.4959,28.6526,UnderCanopy,Tristachya leucothrix,0.083,0.031,444.606,403,5.94,0.43,37.34939759,11.9039671
F,2056,-28.4959,28.6526,OpenGrassland,Tristachya leucothrix,0.125,0.053,528.616,283,9.9,0.22,42.4,12.46735849
F,2056,-28.4959,28.6526,UnderCanopy,Tristachya leucothrix,0.171,0.052,709.075,306,9.17,0.35,30.40935673,23.31765865
F,2056,-28.4959,28.6526,OpenGrassland,Tristachya leucothrix,0.078,0.05,407.827,310,3.08,0.25,64.1025641,6.3621012
F,2056,-28.4959,28.6526,UnderCanopy,Tristachya leucothrix,0.154,0.078,664.124,401,9.856,0.43,50.64935065,13.11219179
G,2056,-28.5015,28.6114,OpenGrassland,Tristachya leucothrix,0.356,0.164,1765.94,340,9.09,0.58,46.06741573,38.33381951
G,2056,-28.5015,28.6114,UnderCanopy,Tristachya leucothrix,0.098,0.05,544.549,281,5.04,0.36,51.02040816,10.6731604
G,2056,-28.5015,28.6114,OpenGrassland,Tristachya leucothrix,0.123,0.052,503.136,334,8.455,0.41,42.27642276,11.90110154
G,2056,-28.5015,28.6114,UnderCanopy,Tristachya leucothrix,0.096,0.034,475.552,399,5.675,0.61,35.41666667,13.42735059
G,2056,-28.5015,28.6114,OpenGrassland,Tristachya leucothrix,0.135,0.066,803.668,359,3.595,0.52,48.88888889,16.43866364
G,2056,-28.5015,28.6114,UnderCanopy,Tristachya leucothrix,0.03,0.018,318.57,289,2.525,0.51,60,5.3095
G,2056,-28.5015,28.6114,OpenGrassland,Tristachya leucothrix,0.123,0.06,517.14,323,7.9,0.47,48.7804878,10.60137
G,2056,-28.5015,28.6114,UnderCanopy,Tristachya leucothrix,0.096,0.034,462.44,433,4.93,0.48,35.41666667,13.05712941
G,2056,-28.5015,28.6114,OpenGrassland,Tristachya leucothrix,0.144,0.068,886.186,342,6.415,0.65,47.22222222,18.76629176
G,2056,-28.5015,28.6114,UnderCanopy,Tristachya leucothrix,0.122,0.057,824.674,359,5.165,0.54,46.72131148,17.65091719
G,2056,-28.5015,28.6114,OpenGrassland,Tristachya leucothrix,0.177,0.072,566.242,327,10.135,0.49,40.6779661,13.92011583
G,2056,-28.5015,28.6114,UnderCanopy,Tristachya leucothrix,0.088,0.042,386.558,184,5.165,0.46,47.72727273,8.099310476
G,2056,-28.5015,28.6114,OpenGrassland,Tristachya leucothrix,0.155,0.064,729.54,374,2.62,0.6,41.29032258,17.66854688
G,2056,-28.5015,28.6114,UnderCanopy,Tristachya leucothrix,0.266,0.12,1124.415,268,4.535,0.46,45.11278195,24.9245325
I,1913,-28.5018,28.6124,OpenGrassland,Tristachya leucothrix,0.199,0.081,1042.832,418,7.015,0.52,40.70351759,25.62019358
I,1913,-28.5018,28.6124,UnderCanopy,Tristachya leucothrix,0.238,0.105,1238.611,376,6.265,0.66,44.11764706,28.07518267
I,1913,-28.5018,28.6124,OpenGrassland,Tristachya leucothrix,0.169,0.085,801.071,387,9.12,0.48,50.29585799,15.92717635
I,1913,-28.5018,28.6124,UnderCanopy,Tristachya leucothrix,0.119,0.044,682.542,387,8.09,0.43,36.97478992,18.45965864
I,1913,-28.5018,28.6124,OpenGrassland,Tristachya leucothrix,0.08,0.043,661.469,361,7.16,0.39,53.75,12.3064
I,1913,-28.5018,28.6124,UnderCanopy,Tristachya leucothrix,0.098,0.056,376.894,308,3.38,0.44,57.14285714,6.595645
I,1913,-28.5018,28.6124,OpenGrassland,Tristachya leucothrix,0.093,0.053,388.531,289,4.51,0.51,56.98924731,6.817619434
I,1913,-28.5018,28.6124,UnderCanopy,Tristachya leucothrix,0.418,0.069,601.346,336,4.335,0.51,16.50717703,36.42936638
I,1913,-28.5018,28.6124,OpenGrassland,Tristachya leucothrix,0.107,0.066,571.885,378,7.87,0.4,61.68224299,9.271468939
I,1913,-28.5018,28.6124,UnderCanopy,Tristachya leucothrix,0.182,0.071,686.728,285,NA,0.62,39.01098901,17.60345014
I,1913,-28.5018,28.6124,OpenGrassland,Tristachya leucothrix,0.11,0.052,517.477,264,3.615,0.4,47.27272727,10.94662885
I,1913,-28.5018,28.6124,UnderCanopy,Tristachya leucothrix,0.097,0.035,467.993,344,9.155,0.46,36.08247423,12.97009171
I,1913,-28.5018,28.6124,OpenGrassland,Tristachya leucothrix,0.176,0.077,709.815,279,7.215,0.37,43.75,16.22434286
I,1913,-28.5018,28.6124,UnderCanopy,Tristachya leucothrix,0.151,0.075,685.306,458,5.765,0.51,49.66887417,13.79749413
