Sample	Site	Plot	Species	WMass	Dmass	SA	Chlorophyll	Toughness	PHeight	Reproductive	Habitat	Theight	Circ	NN1	NN2	Pair	LDMC	SLA
I19U	I	Under	Helichrysum	0.005	0.003	68.114	150	0.275	0.58	F	Under	1	2.9	1.5	2	248	60	1.13523333333333
I1C	I	Control	Pseudognath	0.037	0.006	172.377	201	1.265	0.17	N	Short	1.5	5.4	1	2	249	16.2162162162162	10.629915
I1U	I	Under	Pseudognath	0.029	0.001	96.269	194	2.365	0.36	F	Under	1.5	5.4	1	2	249	3.44827586206897	27.91801
I20C	I	Control	Helichrysum	0.002	0.001	69.292	137	0.935	0.60	F	Short	1	2	2	3	250	50	1.38584
I20U	I	Under	Helichrysum	0.001	NA	30.241	230	1.230	0.38	F	Under	1	2	2	3	250	NA	NA
I21C	I	Control	Helichrysum	0.007	0.002	28.019	217	NA	0.24	F	Tall	1.5	2.1	1	1.5	251	28.5714285714286	0.980665
I21U	I	Under	Helichrysum	0.001	NA	52.938	160	1.135	0.24	F	Under	1.5	2.1	1	1.5	251	NA	NA
I22C	I	Control	Miscanthus	0.447	0.188	2128.086	378	NA	1.29	N	Tall	1.5	2.1	1	1.5	252	42.0581655480984	50.5986405319149
I22U	I	Under	Miscanthus	0.729	0.204	2094.783	446	NA	0.67	N	Under	1.5	2.1	1	1.5	252	27.9835390946502	74.8576866176471
I23C	I	Control	Miscanthus	0.554	0.246	2192.662	465	NA	0.60	N	Tall	1	3.6	2	3	253	44.4043321299639	49.379461300813
I23U	I	Under	Miscanthus	0.565	0.256	2084.926	420	NA	1.02	N	Under	1	3.6	2	3	253	45.3097345132743	46.014968359375
I24C	I	Control	Commelina	0.153	0.013	465.134	270	5.010	0.08	N	Tall	1.5	2.1	1	1.5	254	8.49673202614379	54.7426938461538
I24U	I	Under	Commelina	0.077	0.006	322.565	327	2.945	0.25	N	Under	1.5	2.1	1	1.5	254	7.79220779220779	41.3958416666667
I25C	I	Control	Pseudognath	0.019	0.009	79.946	179	0.980	0.20	F	Away	0.5	2.1	0.5	0.5	255	47.3684210526316	1.68774888888889
I25U	I	Under	Pseudognath	0.018	0.007	131.229	108	0.565	0.25	F	Under	0.5	2.1	0.5	0.5	255	38.8888888888889	3.37446
I26C	I	Control	Oxalis	0.026	0.006	99.191	137	NA	0.03	N	Away	1.5	3	0.5	0.5	256	23.0769230769231	4.29827666666667
I26U	I	Under	Oxalis	0.102	0.009	358.992	190	2.055	0.13	N	Under	1.5	3	0.5	0.5	256	8.82352941176471	40.68576
I27C	I	Control	Miscanthus	0.635	0.283	2723.059	425	NA	1.14	N	Away	1	1.1	1.5	0.5	257	44.5669291338583	61.100440459364
I27U	I	Under	Miscanthus	0.374	0.177	1908.32	435	NA	0.97	N	Under	1	1.1	1.5	0.5	257	47.3262032085561	40.3226937853107
I28C	I	Control	Helichrysum	0.002	0.001	16.495	372	NA	0.15	F	Away	1	2.1	0.5	1	258	50	0.3299
I28U	I	Under	Helichrysum	0.001	NA	16.87	281	NA	0.12	F	Under	1	2.1	0.5	1	258	NA	NA
I29C	I	Control	Commelina	0.154	0.015	547.423	315	4.730	0.38	N	Away	1	2.1	0.5	1	259	9.74025974025974	56.2020946666667
I29U	I	Under	Commelina	0.098	0.027	371.817	302	2.580	0.21	N	Under	1	2.1	0.5	1	259	27.5510204081633	13.49558
I2C	I	Control	Themeda	0.011	0.008	115.389	338	2.010	0.55	F	Short	1.5	5.4	1	2	260	72.7272727272727	1.58659875
I2U	I	Under	Themeda	0.051	0.03	517.666	367	3.690	0.56	N	Under	1.5	5.4	1	2	260	58.8235294117647	8.800322
I32C	I	Control	Commelina	0.097	0.021	386.578	249	3.855	0.18	N	Away	1.5	3.7	0.5	1	261	21.6494845360825	17.8562219047619
I32U	I	Under	Commelina	0.171	0.03	603.783	355	2.800	0.22	N	Under	1.5	3.7	0.5	1	261	17.5438596491228	34.415631
I33C	I	Control	Tristachya	0.169	0.085	801.071	387	9.120	0.48	F	Away	1.5	3.7	0.5	1	262	50.2958579881657	15.9271763529412
I33U	I	Under	Tristachya	0.119	0.044	682.542	387	8.090	0.43	N	Under	1.5	3.7	0.5	1	262	36.9747899159664	18.4596586363636
I34C	I	Control	Themeda	0.091	0.051	695.882	359	8.030	0.52	F	Away	0.5	2.5	0.5	1	263	56.043956043956	12.4167180392157
I34U	I	Under	Themeda	0.112	0.063	915.507	401	1.610	0.47	N	Under	0.5	2.5	0.5	1	263	56.25	16.27568
I35C	I	Control	Themeda	0.041	0.035	392.452	374	1.920	0.47	F	Away	1.5	3.7	0.5	1	264	85.3658536585366	4.59729485714286
I35U	I	Under	Themeda	0.087	0.046	638.335	338	1.935	0.40	N	Under	1.5	3.7	0.5	1	264	52.8735632183908	12.0728576086957
I36C	I	Control	Tristachya	0.08	0.043	661.469	361	7.160	0.39	F	Away	1.5	3.6	0.5	1	265	53.75	12.3064
I36U	I	Under	Tristachya	0.098	0.056	376.894	308	3.380	0.44	N	Under	1.5	3.6	0.5	1	265	57.1428571428571	6.595645
I37C	I	Control	Themeda	0.159	0.078	1251.022	374	5.840	0.64	F	Away	1	4.1	0.5	0.5	266	49.0566037735849	25.5016023076923
