Sample	Site	Plot	Species	WMass	Dmass	SA	Chlorophyll	Toughness	PHeight	Reproductive	Habitat	Theight	Circ	NN1	NN2	Pair	LDMC	SLA
B28C	B	Control	Helichrysum	0.003	NA	41.623	351	NA	0.26	F	Short	1	3	0.5	0.5	20	NA	NA
B28U	B	Under	Helichrysum	0.007	NA	48.026	338	1.170	0.30	F	Under	1	3	0.5	0.5	20	NA	NA
B29C	B	Control	Pseudognath	0.02	0.005	100.632	253	1.375	0.18	F	Short	1	3	0.5	0.5	21	25	4.02528
B29U	B	Under	Pseudognath	0.026	0.007	138.744	239	1.460	0.36	F	Under	1	3	0.5	0.5	21	26.9230769230769	5.15334857142857
B2C	B	Control	Helichrysum	0.014	NA	136.906	70	0.530	0.55	F	Short	0.5	1.7	1	1	22	NA	NA
B2U	B	Under	Helichrysum	0.012	NA	62.853	220	NA	0.52	F	Under	0.5	1.7	1	1	22	NA	NA
B30C	B	Control	Commelina	0.026	NA	138.092	245	0.755	0.08	N	Short	1	3	0.5	0.5	23	NA	NA
B30U	B	Under	Commelina	0.091	0.01	345.106	182	6.295	0.10	F	Under	1	3	0.5	0.5	23	10.989010989011	31.404646
B31C	B	Control	Pseudognath	0.015	0.004	97.623	275	0.680	0.25	F	Short	1	2.7	0.5	0.5	24	26.6666666666667	3.6608625
B31U	B	Under	Pseudognath	0.044	0.011	196.649	251	1.790	0.66	F	Under	1	2.7	0.5	0.5	24	25	7.86596
B32C	B	Control	Tristachya	0.049	0.035	411.67	374	4.780	0.42	N	Short	1	2.7	0.5	0.5	25	71.4285714285714	5.76338
B32U	B	Under	Tristachya	0.098	0.044	678.109	359	9.775	0.76	N	Under	1	2.7	0.5	0.5	25	44.8979591836735	15.1033368181818
B33C	B	Control	Themeda	0.077	0.023	623.999	353	2.570	0.44	F	Short	1	2.7	0.5	0.5	26	29.8701298701299	20.8904013043478
B33U	B	Under	Themeda	0.048	0.023	317.925	346	5.385	0.45	N	Under	1	2.7	0.5	0.5	26	47.9166666666667	6.63495652173913
B34C	B	Control	Tristachya	0.186	0.083	1413.739	289	4.180	0.56	N	Short	1	2.7	0.5	0.5	27	44.6236559139785	31.68138
B34U	B	Under	Tristachya	0.17	0.054	1152.632	348	6.925	0.68	N	Under	1	2.7	0.5	0.5	27	31.7647058823529	36.286562962963
B35C	B	Control	Pseudognath	0.019	0.006	95.75	175	1.170	0.41	F	Short	1	2.7	0.5	0.5	28	31.5789473684211	3.03208333333333
B35U	B	Under	Pseudognath	0.032	0.007	133.479	232	1.205	0.56	F	Under	1	2.7	0.5	0.5	28	21.875	6.10189714285714
B36C	B	Control	Helichrysum	0.012	0.004	72.197	150	0.755	0.33	F	Short	1	3.6	1	2	29	33.3333333333333	2.16591
B36U	B	Under	Helichrysum	0.009	NA	72.983	346	1.620	0.41	F	Under	1	3.6	1	2	29	NA	NA
B37C	B	Control	Pseudognath	0.011	0.001	64.29	245	0.385	0.19	F	Short	1	3.6	1	2	30	9.09090909090909	7.0719
B37U	B	Under	Pseudognath	0.017	NA	125.706	188	0.370	0.38	F	Under	1	3.6	1	2	30	NA	NA
B38C	B	Control	Themeda	0.027	0.015	377.569	319	3.950	0.39	N	Short	1	3.6	1	2	31	55.5555555555556	6.796242
B38U	B	Under	Themeda	0.068	0.029	624.266	285	4.515	0.35	F	Under	1	3.6	1	2	31	42.6470588235294	14.6379613793103
B39C	B	Control	Helichrysum	0.006	NA	52.422	192	0.645	0.35	F	Short	2	2.73	0.5	0.5	32	NA	NA
B39U	B	Under	Helichrysum	0.006	NA	73.016	241	0.295	0.32	F	Under	2	2.73	0.5	0.5	32	NA	NA
B40C	B	Control	Miscanthus	0.19	0.063	1036.939	458	10.935	0.82	F	Tall	0.5	1.6	0.5	2	33	33.1578947368421	31.2727634920635
B40U	B	Under	Miscanthus	0.542	0.175	2946.363	389	NA	0.89	N	Under	0.5	1.6	0.5	2	33	32.2878228782288	91.2530712
B41C	B	Control	Miscanthus	0.377	0.172	1932.058	429	NA	1.90	F	Tall	1	2.4	1	1	34	45.6233421750663	42.3480154651163
B41U	B	Under	Miscanthus	0.832	0.383	3300.529	441	NA	1.90	F	Under	1	2.4	1	1	34	46.0336538461538	71.6981756657963
B42C	B	Control	Oxalis	0.047	0.004	185.934	196	0.470	0.09	N	Short	2	1.6	0.5	0.5	35	8.51063829787234	21.847245
B42U	B	Under	Oxalis	0.051	0.006	243.371	184	0.700	0.08	N	Under	2	1.6	0.5	0.5	35	11.7647058823529	20.686535
B43C	B	Control	Oxalis	0.044	0.006	187.322	270	NA	0.06	F	Open	2	2.6	0.5	1	36	13.6363636363636	13.7369466666667
B43U	B	Under	Oxalis	0.103	0.01	335.243	222	2.180	0.08	N	Under	2	2.6	0.5	1	36	9.70873786407767	34.530029
B44C	B	Control	Oxalis	0.125	0.009	379.541	198	1.610	0.22	N	Tall	0.5	1.6	0.5	0.5	37	7.2	52.7140277777778
B44U	B	Under	Oxalis	0.06	0.006	196.315	211	0.670	0.15	N	Under	0.5	1.6	0.5	0.5	37	10	19.6315
B45C	B	Control	Oxalis	0.034	NA	130.186	114	NA	0.04	F	Short	2	2.6	0.5	0.5	38	NA	NA
B45U	B	Under	Oxalis	0.084	0.003	260.171	NA	1.370	0.08	F	Under	2	2.6	0.5	0.5	38	3.57142857142857	72.84788
B46C	B	Control	Oxalis	0.059	0.009	187.455	194	0.925	0.11	N	Short	2	2.9	0.5	0.5	39	15.2542372881356	12.2887166666667
B46U	B	Under	Oxalis	0.032	0.009	147.604	165	1.195	0.06	N	Under	2	2.9	0.5	0.5	39	28.125	5.24814222222222
B47C	B	Control	Oxalis	0.023	NA	59.108	156	NA	0.09	F	Short	0.5	2	0.5	0.5	40	NA	NA
B47U	B	Under	Oxalis	0.026	NA	77.831	249	NA	0.06	N	Under	0.5	2	0.5	0.5	40	NA	NA
B48C	B	Control	Oxalis	0.063	0.006	198.204	NA	2.000	0.19	F	Short	1.5	2.2	0.5	0.5	41	9.52380952380952	20.81142
B48U	B	Under	Oxalis	0.076	0.009	264.751	122	1.550	0.10	F	Under	1.5	2.2	0.5	0.5	41	11.8421052631579	22.3567511111111
B49C	B	Control	Oxalis	0.048	NA	156.798	137	1.655	0.04	N	Open	2.5	3.7	0.5	0.5	42	NA	NA
B49U	B	Under	Oxalis	0.061	0.006	252.565	234	1.250	0.08	N	Under	2.5	3.7	0.5	0.5	42	9.83606557377049	25.6774416666667
B4C	B	Control	Commelina	0.103	0.01	449.264	361	3.680	0.20	N	Short	0.5	1.7	1	1	43	9.70873786407767	46.274192
B4U	B	Under	Commelina	0.098	0.012	405.134	241	3.225	0.09	N	Under	0.5	1.7	1	1	43	12.2448979591837	33.0859433333333
B50C	B	Control	Commelina	0.089	0.018	304.903	228	4.515	0.07	N	Short	2	4.1	0.5	1	44	20.2247191011236	15.0757594444444
B50U	B	Under	Commelina	0.034	0.004	120.942	272	3.415	0.08	N	Under	2	4.1	0.5	1	44	11.7647058823529	10.28007
B5C	B	Control	Themeda	0.042	0.009	378.972	469	3.050	0.47	F	Short	0.5	1.7	1	1	45	21.4285714285714	17.68536
B5U	B	Under	Themeda	0.086	0.036	712.026	306	3.020	0.54	N	Under	0.5	1.7	1	1	45	41.8604651162791	17.00951
B6C	B	Control	Helichrysum	0.019	0.004	152.134	101	0.275	0.50	F	Short	1	2.4	1	2	46	21.0526315789474	7.226365
B6U	B	Under	Helichrysum	0.013	NA	90.786	177	0.320	0.45	F	Under	1	2.4	1	2	46	NA	NA
B7C	B	Control	Pseudognath	0.023	0.005	113.135	127	0.570	0.55	F	Short	1	2.4	1	2	47	21.7391304347826	5.20421
B7U	B	Under	Pseudognath	0.062	0.003	334.775	201	0.760	0.11	F	Under	1	2.4	1	2	47	4.83870967741935	69.1868333333333
B8C	B	Control	Pseudognath	0.017	0.001	78.934	148	1.015	0.25	F	Short	1.5	3.4	1	1	48	5.88235294117647	13.41878
B8U	B	Under	Pseudognath	0.026	NA	130.152	163	0.500	0.50	F	Under	1.5	3.4	1	1	48	NA	NA
B9C	B	Control	Tristachya	0.069	0.019	481.21	382	2.265	0.43	N	Short	1.5	3.4	0.5	0.5	49	27.536231884058	17.4755210526316
B9U	B	Under	Tristachya	0.123	0.052	752.028	319	7.860	0.55	N	Under	1.5	3.4	0.5	0.5	49	42.2764227642276	17.7883546153846
D10C	D	Control	Pseudognath	0.012	0.006	76.085	165	1.655	0.26	F	Open	1	6	0.5	0.5	50	50	1.5217
D10U	D	Under	Pseudognath	0.023	0.007	106.131	209	1.680	0.32	F	Under	1	6	0.5	0.5	50	30.4347826086957	3.48716142857143
D11C	D	Control	Helichrysum	0.008	0.001	79.425	226	NA	0.19	F	Open	1	6	0.5	0.5	51	12.5	6.354
D11U	D	Under	Helichrysum	0.004	NA	58.02	179	0.580	0.56	F	Under	1	6	0.5	0.5	51	NA	NA
D12C	D	Control	Pseudognath	0.018	0.005	74.58	262	1.460	0.23	F	Open	1.5	6.6	0.5	0.5	52	27.7777777777778	2.68488
D12U	D	Under	Pseudognath	0.027	0.005	195.092	84	1.310	0.59	F	Under	1.5	6.6	0.5	0.5	52	18.5185185185185	10.534968
D13C	D	Control	Tristachya	0.114	0.063	604.09	387	NA	0.57	N	Short	1	6	0.5	0.5	53	55.2631578947368	10.9311523809524
D13U	D	Under	Tristachya	0.124	0.036	974.475	258	3.065	0.89	N	Under	1	6	0.5	0.5	53	29.0322580645161	33.56525
D14C	D	Control	Helichrysum	0.001	NA	12.25	131	NA	0.12	F	Open	1	6.6	1	1	54	NA	NA
D14U	D	Under	Helichrysum	0.032	0.001	70.788	124	0.310	0.24	N	Under	1	6.6	1	1	54	3.125	22.65216
D15C	D	Control	Commelina	0.1	0.013	364.95	317	4.440	0.09	N	Short	1	6	0.5	0.5	55	13	28.0730769230769
D15U	D	Under	Commelina	0.19	0.013	703.437	344	2.890	0.05	N	Under	1	6	0.5	0.5	55	6.84210526315789	102.810023076923
D16C	D	Control	Pseudognath	0.017	0.004	101.527	232	0.960	0.17	F	Short	1.5	8.6	1	0.5	56	23.5294117647059	4.3148975
D16U	D	Under	Pseudognath	0.026	0.005	100.678	220	1.315	0.49	F	Under	1.5	8.6	1	0.5	56	19.2307692307692	5.235256
D17C	D	Control	Themeda	0.059	0.029	658.904	251	1.235	0.40	F	Short	1.5	8.6	1	0.5	57	49.1525423728814	13.4052882758621
D17U	D	Under	Themeda	0.051	0.02	503.394	323	5.510	0.33	F	Under	1.5	8.6	1	0.5	57	39.2156862745098	12.836547
D18C	D	Control	Commelina	0.066	0.011	304.027	241	3.020	0.13	N	Open	1.5	8.6	1	0.5	58	16.6666666666667	18.24162
D18U	D	Under	Commelina	0.072	0.005	275.123	158	2.330	0.07	N	Under	1.5	8.6	1	0.5	58	6.94444444444444	39.617712
D19C	D	Control	Miscanthus	0.107	0.041	620.844	289	NA	0.71	F	Tall	1.5	5.5	0.5	0.5	59	38.3177570093458	16.2025141463415
D19U	D	Under	Miscanthus	0.233	0.088	1797.802	397	NA	1.40	F	Under	1.5	5.5	0.5	0.5	59	37.7682403433476	47.6008938636364
D1C	D	Control	Pseudognath	0.025	0.007	100.16	291	1.470	0.27	F	Short	1.5	5.8	0.5	0.5	60	28	3.57714285714286
D1U	D	Under	Pseudognath	0.017	0.005	114.369	124	0.675	0.39	F	Under	1.5	5.8	0.5	0.5	60	29.4117647058824	3.888546
D20C	D	Control	Miscanthus	0.333	0.164	2318.988	408	NA	0.74	N	Short	2	4.8	1	1	61	49.2492492492492	47.0867685365854
D20U	D	Under	Miscanthus	0.555	0.249	3037.552	399	NA	1.49	F	Under	2	4.8	1	1	61	44.8648648648649	67.7044722891566
D21C	D	Control	Pseudognath	0.014	0.008	67.777	196	1.515	0.37	F	Short	0.5	6.4	0.5	1	62	57.1428571428571	1.1860975
D21U	D	Under	Pseudognath	0.024	0.007	118.696	264	2.115	0.49	F	Under	0.5	6.4	0.5	1	62	29.1666666666667	4.06957714285714
D22C	D	Control	Themeda	0.071	0.034	687.773	258	0.905	0.43	N	Short	0.5	6.4	0.5	1	63	47.887323943662	14.3623185294118
D22U	D	Under	Themeda	0.019	0.009	257.625	253	2.725	0.46	F	Under	0.5	6.4	0.5	1	63	47.3684210526316	5.43875
D23C	D	Control	Tristachya	0.141	0.068	711.138	340	7.080	0.47	N	Short	0.5	6.4	0.5	1	64	48.2269503546099	14.7456555882353
D23U	D	Under	Tristachya	0.162	0.051	782.585	194	NA	0.74	N	Under	0.5	6.4	0.5	1	64	31.4814814814815	24.8585823529412
D24C	D	Control	Miscanthus	0.545	0.202	2585.51	351	NA	0.74	N	Short	1.5	5.6	0.5	1	65	37.0642201834862	69.7575717821782
D24U	D	Under	Miscanthus	0.603	0.249	3447.087	281	10.560	0.92	N	Under	1.5	5.6	0.5	1	65	41.2935323383085	83.4776490361446
D25C	D	Control	Commelina	0.077	0.012	279.762	211	7.180	0.07	F	Open	0.5	6.4	0.5	1	66	15.5844155844156	17.951395
D25U	D	Under	Commelina	0.061	0.01	322.338	222	2.380	0.17	N	Under	0.5	6.4	0.5	1	66	16.3934426229508	19.662618
D26C	D	Control	Commelina	0.034	0.006	159.473	211	3.785	0.14	F	Short	0.5	6	0.5	2	67	17.6470588235294	9.03680333333334
D26U	D	Under	Commelina	0.079	0.011	324.727	182	3.060	0.04	N	Under	0.5	6	0.5	2	67	13.9240506329114	23.3213027272727
D27C	D	Control	Tristachya	0.023	0.015	218.129	427	2.790	0.38	N	Short	0.5	6	0.5	2	68	65.2173913043478	3.34464466666667
D27U	D	Under	Tristachya	0.076	0.022	391.725	253	9.735	0.40	N	Under	0.5	6	0.5	2	68	28.9473684210526	13.5323181818182
D28C	D	Control	Miscanthus	0.284	0.107	1776.704	260	5.940	0.66	N	Short	1	3.9	0.5	0.5	69	37.6760563380282	47.1573771962617
D28U	D	Under	Miscanthus	0.21	0.078	1366.996	296	7.145	0.94	N	Under	1	3.9	0.5	0.5	69	37.1428571428571	36.8037384615385
D29C	D	Control	Themeda	0.046	0.028	567.692	262	1.865	0.27	F	Open	0.5	6	0.5	2	70	60.8695652173913	9.32636857142857
D29U	D	Under	Themeda	0.136	0.064	975.462	213	2.120	0.64	N	Under	0.5	6	0.5	2	70	47.0588235294118	20.7285675
D2C	D	Control	Pseudognath	0.018	0.006	95.712	148	1.560	0.16	F	Short	0.5	4.8	0.5	2	71	33.3333333333333	2.87136
D2U	D	Under	Pseudognath	0.028	0.006	168.837	179	0.930	0.51	F	Under	0.5	4.8	0.5	2	71	21.4285714285714	7.87906
D30C	D	Control	Miscanthus	0.332	0.143	2029.24	321	NA	0.92	N	Open	1.5	4.9	1.5	1	72	43.0722891566265	47.1124251748252
D30U	D	Under	Miscanthus	0.139	0.058	1248.387	378	10.760	1.15	N	Under	1.5	4.9	1.5	1	72	41.726618705036	29.9182401724138
D31C	D	Control	Helichrysum	0.015	0.003	115.131	108	0.940	0.35	F	Open	1.5	5.9	1	0.5	73	20	5.75655
D31U	D	Under	Helichrysum	0.001	NA	27.138	306	NA	0.52	F	Under	1.5	5.9	1	0.5	73	NA	NA
D32C	D	Control	Helichrysum	0.001	NA	34.425	186	NA	0.28	F	Short	1.5	4.4	1.5	1	74	NA	NA
D32U	D	Under	Helichrysum	0.045	0.002	79.979	139	0.795	0.56	F	Under	1.5	4.4	1.5	1	74	4.44444444444444	17.995275
D33C	D	Control	Themeda	0.074	0.035	555.888	279	4.450	0.46	F	Short	1.5	5.9	1	2	75	47.2972972972973	11.7530605714286
D33U	D	Under	Themeda	0.045	0.021	461.492	245	1.800	0.40	F	Under	1.5	5.9	1	2	75	46.6666666666667	9.88911428571429
D34C	D	Control	Themeda	0.071	0.039	671.071	287	2.630	0.48	F	Short	1.5	5.5	1	2	76	54.9295774647887	12.2169335897436
D34U	D	Under	Themeda	0.06	0.032	496.004	217	0.635	0.42	F	Under	1.5	5.5	1	2	76	53.3333333333333	9.300075
D35C	D	Control	Themeda	0.079	0.032	732.288	281	2.530	0.45	F	Short	1.5	4.4	1	1.5	77	40.5063291139241	18.07836
D35U	D	Under	Themeda	0.07	0.03	654.958	209	1.550	0.54	F	Under	1.5	4.4	1	1.5	77	42.8571428571428	15.2823533333333
D36C	D	Control	Themeda	0.048	0.012	456.975	198	2.090	0.47	F	Short	1	5.4	1	2	78	25	18.279
D36U	D	Under	Themeda	0.061	0.021	533.596	234	2.220	0.56	F	Under	1	5.4	1	2	78	34.4262295081967	15.4996933333333
D37C	D	Control	Commelina	0.22	0.04	835.46	243	4.505	0.19	N	Open	1	5.4	1	2	79	18.1818181818182	45.9503
D37U	D	Under	Commelina	0.103	0.018	529.633	194	1.430	0.13	N	Under	1	5.4	1	2	79	17.4757281553398	30.3067772222222
D38C	D	Control	Themeda	0.046	0.024	409.067	304	1.010	0.38	F	Short	1.5	6	1	4	80	52.1739130434783	7.84045083333333
D38U	D	Under	Themeda	0.046	0.025	387.017	74	6.085	0.39	N	Under	1.5	6	1	4	80	54.3478260869565	7.1211128
D39C	D	Control	Commelina	0.092	0.019	377.706	300	3.310	0.21	F	Short	1.5	6	1	4	81	20.6521739130435	18.2889221052632
D39U	D	Under	Commelina	0.118	0.014	553.171	329	3.430	0.30	N	Under	1.5	6	1	4	81	11.864406779661	46.6244128571429
D3C	D	Control	Pseudognath	0.026	0.007	120.6	232	2.310	0.22	F	Short	1	7	2	2	82	26.9230769230769	4.47942857142857
D3U	D	Under	Pseudognath	0.015	0.004	11.627	217	1.285	0.33	N	Under	1	7	2	2	82	26.6666666666667	0.4360125
D40C	D	Control	Tristachya	0.053	0.022	299.492	203	2.500	0.28	F	Short	1.5	6.2	1	1	83	41.5094339622641	7.21503454545455
D40U	D	Under	Tristachya	0.134	0.039	663.49	300	5.255	0.35	F	Under	1.5	6.2	1	1	83	29.1044776119403	22.7968358974359
D41C	D	Control	Helichrysum	0.017	NA	51.404	313	NA	0.63	F	Open	1	6.8	0.5	2	84	NA	NA
D41U	D	Under	Helichrysum	0.001	NA	46.333	169	NA	0.22	F	Under	1	6.8	0.5	2	84	NA	NA
D42C	D	Control	Themeda	0.019	0.009	226.696	291	6.695	0.47	F	Open	1	6.8	0.5	2	85	47.3684210526316	4.78580444444444
D42U	D	Under	Themeda	0.055	0.024	455.452	363	1.620	0.60	F	Under	1	6.8	0.5	2	85	43.6363636363636	10.4374416666667
D43C	D	Control	Miscanthus	0.18	0.086	1208.215	264	NA	0.85	N	Open	1	4.7	1	1.5	86	47.7777777777778	25.2882209302326
D43U	D	Under	Miscanthus	0.374	0.166	1537.979	450	NA	0.83	N	Under	1	4.7	1	1.5	86	44.3850267379679	34.6508521686747
D44C	D	Control	Tristachya	0.05	0.024	248.521	270	6.935	0.83	F	Short	1	5.7	1	0.5	87	48	5.17752083333333
D44U	D	Under	Tristachya	0.155	0.071	1114.131	433	4.860	0.32	F	Under	1	5.7	1	0.5	87	45.8064516129032	24.3225781690141
D45C	D	Control	Tristachya	0.092	0.056	562.76	351	4.415	0.58	F	Short	1.5	3.7	1	1	88	60.8695652173913	9.24534285714286
D45U	D	Under	Tristachya	0.064	0.033	557.706	310	0.725	0.54	F	Under	1.5	3.7	1	1	88	51.5625	10.8161163636364
D4C	D	Control	Helichrysum	0.013	0.006	52.65	429	NA	0.24	F	Short	1.5	6.2	1	1	89	46.1538461538462	1.14075
D4U	D	Under	Helichrysum	0.007	NA	54.173	355	NA	0.31	F	Under	1.5	6.2	1	1	89	NA	NA
D5C	D	Control	Pseudognath	0.017	0.005	109.09	177	1.895	0.33	F	Short	1	6.8	1	0.5	90	29.4117647058824	3.70906
D5U	D	Under	Pseudognath	0.027	0.008	127.627	110	1.425	0.34	F	Under	1	6.8	1	0.5	90	29.6296296296296	4.30741125
D6C	D	Control	Pseudognath	0.022	0.007	101.977	234	1.705	0.25	F	Short	1.5	6.2	1	1	91	31.8181818181818	3.20499142857143
D6U	D	Under	Pseudognath	0.017	0.005	111.704	249	1.315	0.30	F	Under	1.5	6.2	1	1	91	29.4117647058824	3.797936
D7C	D	Control	Pseudognath	0.017	0.005	80.325	186	1.165	0.50	F	Short	1	6.2	1	0.5	92	29.4117647058824	2.73105
D7U	D	Under	Pseudognath	0.018	NA	109.229	129	0.310	0.35	F	Under	1	6.2	1	0.5	92	NA	NA
D8C	D	Control	Commelina	0.141	0.02	530.896	209	4.525	0.08	N	Short	1	6.2	1	0.5	93	14.1843971631206	37.428168
D8U	D	Under	Commelina	0.128	0.016	562.76	201	2.925	0.13	F	Under	1	6.2	1	0.5	93	12.5	45.0208
D9C	D	Control	Tristachya	0.264	0.135	1426.998	332	9.990	0.59	N	Short	1.5	6.6	0.5	0.5	94	51.1363636363636	27.9057386666667
D9U	D	Under	Tristachya	0.221	0.106	1600.996	315	8.910	0.71	N	Under	1.5	6.6	0.5	0.5	94	47.9638009049774	33.3792562264151
E10C	E	Control	Oxalis	0.058	0.006	223.295	179	1.715	0.04	N	Open	2	3.6	0.5	2	95	10.3448275862069	21.5851833333333
E10U	E	Under	Oxalis	0.078	0.012	285.446	236	3.875	0.05	F	Under	2	3.6	0.5	2	95	15.3846153846154	18.55399
E11C	E	Control	Tristachya	0.041	0.02	380.026	342	2.705	0.54	N	Open	2	6.4	0.5	2	96	48.780487804878	7.790533
E11U	E	Under	Tristachya	0.055	0.029	534.902	402	1.595	0.28	N	Under	2	6.4	0.5	2	96	52.7272727272727	10.1446931034483
E12C	E	Control	Themeda	0.039	0.015	376.499	410	3.800	0.22	F	Open	2	3.6	0.5	2	97	38.4615384615385	9.788974
E12U	E	Under	Themeda	0.022	0.018	306.659	359	3.880	0.17	N	Under	2	3.6	0.5	2	97	81.8181818181818	3.74805444444444
E13C	E	Control	Themeda	0.035	0.016	265.052	289	1.520	0.23	N	Open	2	6.4	0.5	2	98	45.7142857142857	5.7980125
E13U	E	Under	Themeda	0.036	0.013	309.183	300	6.080	0.20	N	Under	2	6.4	0.5	2	98	36.1111111111111	8.56199076923077
E14C	E	Control	Commelina	0.186	0.035	498.878	248	3.220	0.10	F	Open	2	7.9	0.5	2	99	18.8172043010753	26.5118022857143
E14U	E	Under	Commelina	0.072	0.017	350.957	236	3.625	0.09	N	Under	2	7.9	0.5	2	99	23.6111111111111	14.8640611764706
E15C	E	Control	Tristachya	0.058	0.02	383.052	245	1.040	0.18	N	Open	2	3.6	0.5	2	100	34.4827586206897	11.108508
E15U	E	Under	Tristachya	0.096	0.039	805.236	391	7.055	0.41	N	Under	2	3.6	0.5	2	100	40.625	19.8211938461538
E16C	E	Control	Tristachya	0.1	0.032	667.946	355	5.980	0.26	N	Open	2	7.9	0.5	2	101	32	20.8733125
E16U	E	Under	Tristachya	0.085	0.035	792.114	355	6.105	0.47	N	Under	2	7.9	0.5	2	101	41.1764705882353	19.2370542857143
E17C	E	Control	Themeda	0.042	0.014	362.474	253	4.530	0.22	F	Open	2	7.9	0.5	2	102	33.3333333333333	10.87422
E17U	E	Under	Themeda	0.051	0.017	430.409	372	10.170	0.23	N	Under	2	7.9	0.5	2	102	33.3333333333333	12.91227
E18C	E	Control	Oxalis	0.074	0.007	261.542	209	1.995	0.04	N	Open	2	6.4	4	4	103	9.45945945945946	27.6487257142857
E18U	E	Under	Oxalis	0.153	0.009	617.981	332	1.275	0.10	F	Under	2	6.4	4	4	103	5.88235294117647	105.05677
E19C	E	Control	Commelina	0.101	0.019	381.763	245	6.535	0.09	N	Open	2	4.7	1	0.5	104	18.8118811881188	20.2937173684211
E19U	E	Under	Commelina	0.118	0.013	392.312	249	5.755	0.08	N	Under	2	4.7	1	0.5	104	11.0169491525424	35.6098584615385
E1C	E	Control	Commelina	0.113	0.017	387.832	22	3.405	0.06	N	Open	2.5	6.6	2	1.5	105	15.0442477876106	25.7794211764706
E1U	E	Under	Commelina	0.177	0.026	514.892	300	5.015	0.08	N	Under	2.5	6.6	2	1.5	105	14.6892655367232	35.0522630769231
E20C	E	Control	Tristachya	0.046	0.018	506.25	327	0.875	0.27	N	Open	2	4.7	1	0.5	106	39.1304347826087	12.9375
E20U	E	Under	Tristachya	0.061	0.019	398.431	298	3.527	0.43	N	Under	2	4.7	1	0.5	106	31.1475409836066	12.7917321052632
E21C	E	Control	Pseudognath	0.028	0.008	121.092	135	1.540	0.16	N	Open	2	8.1	4	4	107	28.5714285714286	4.23822
E21U	E	Under	Pseudognath	0.039	0.008	159.874	317	2.630	0.14	N	Under	2	8.1	4	4	107	20.5128205128205	7.7938575
E22C	E	Control	Pseudognath	0.018	0.006	78.165	182	1.125	0.10	N	Open	2	4.7	1	0.5	108	33.3333333333333	2.34495
E22U	E	Under	Pseudognath	0.04	0.01	126.575	260	1.150	0.29	F	Under	2	4.7	1	0.5	108	25	5.063
E23C	E	Control	Commelina	0.017	0.003	99.946	226	1.715	0.06	N	Open	2	8.1	4	4	109	17.6470588235294	5.66360666666667
E23U	E	Under	Commelina	0.038	0.009	208.785	268	4.455	0.03	F	Under	2	8.1	4	4	109	23.6842105263158	8.81536666666667
E24C	E	Control	Commelina	0.135	0.027	398.414	302	4.600	0.09	F	Open	2	7.2	0.5	0.5	110	20	19.9207
E24U	E	Under	Commelina	0.336	0.045	1077.927	334	4.170	0.11	N	Under	2	7.2	0.5	0.5	110	13.3928571428571	80.485216
E25C	E	Control	Miscanthus	0.331	0.097	1832.513	359	3.650	0.64	N	Open	1.5	3.5	0.5	0.5	111	29.3051359516616	62.5321446391753
E25U	E	Under	Miscanthus	0.187	0.07	1363.473	342	5.435	0.61	N	Under	1.5	3.5	0.5	0.5	111	37.4331550802139	36.4242072857143
E26C	E	Control	Tristachya	0.078	0.041	492.142	397	3.870	0.43	N	Open	2	7.2	0.5	0.5	112	52.5641025641026	9.36270146341463
E26U	E	Under	Tristachya	0.046	0.021	436.878	403	4.310	0.60	N	Under	2	7.2	0.5	0.5	112	45.6521739130435	9.56970857142857
E27C	E	Control	Commelina	0.235	0.038	812.474	156	4.670	0.05	N	Open	2	5.4	1	2	113	16.1702127659574	50.2451026315789
E27U	E	Under	Commelina	0.095	0.015	340.977	294	3.135	0.05	N	Under	2	5.4	1	2	113	15.7894736842105	21.59521
E28C	E	Control	Miscanthus	0.171	0.061	1166.974	355	7.690	0.67	N	Open	1.5	4.6	1	1	114	35.672514619883	32.713533442623
E28U	E	Under	Miscanthus	0.164	0.067	1097.067	315	NA	0.97	N	Under	1.5	4.6	1	1	114	40.8536585365854	26.8535802985075
E29C	E	Control	Pseudognath	0.039	0.008	156.146	249	1.435	0.24	F	Open	2	5.9	2	1	115	20.5128205128205	7.6121175
E29U	E	Under	Pseudognath	0.025	0.005	136.705	194	0.825	0.43	F	Under	2	5.9	2	1	115	20	6.83525
E2C	E	Control	Tristachya	0.053	0.02	426.597	300	4.715	0.29	N	Open	2.5	6.2	0.5	0.5	116	37.7358490566038	11.3048205
E2U	E	Under	Tristachya	0.102	0.047	925.539	399	2.455	0.42	N	Under	2.5	6.2	0.5	0.5	116	46.078431372549	20.0861655319149
E30C	E	Control	Commelina	0.12	0.027	441.124	285	6.665	0.08	F	Open	2	5.9	2	1	117	22.5	19.6055111111111
E30U	E	Under	Commelina	0.35	0.049	1060.108	338	3.570	0.12	F	Under	2	5.9	2	1	117	14	75.722
E31C	E	Control	Oxalis	0.068	0.008	252.314	285	1.310	0.04	N	Open	2	5.9	2	1	118	11.7647058823529	21.44669
E31U	E	Under	Oxalis	0.089	0.006	344.404	156	1.030	0.06	N	Under	2	5.9	2	1	118	6.74157303370786	51.0865933333333
E32C	E	Control	Miscanthus	0.16	0.06	1123.312	313	9.695	0.79	N	Open	1.5	2	1	1	119	37.5	29.9549866666667
E32U	E	Under	Miscanthus	0.228	0.071	1197.398	420	10.665	0.86	N	Under	1.5	2	1	1	119	31.140350877193	38.451654084507
